Player,FPTS,Team,Pos
Bears,5.0,CHI,DST
Bills,5.0,BUF,DST
Browns,4.0,CLE,DST
Bengals,4.0,CIN,DST
Packers,3.0,GB,DST
Cardinals,2.0,ARI,DST
Chargers,2.0,LAC,DST
Vikings,2.0,MIN,DST
Steelers,1.0,PIT,DST
Team,1.0,WAS,DST
49ers,-1.0,SF,DST
Raiders,-2.0,LV,DST
Jason Myers,19.0,SEA,K
Justin Tucker,17.0,BAL,K
Aldrick Rosas,15.0,DET,K
Greg Zuerlein,14.0,DAL,K
Harrison Butker,12.0,KC,K
Daniel Carlson,12.0,LV,K
Zane Gonzalez,10.0,CAR,K
Jake Elliott,10.0,PHI,K
Matt Prater,10.0,ARI,K
Dustin Hopkins,9.0,LAC,K
Ryan Succop,8.0,TB,K
Sebastian Janikowski,8.0,FA,K
Chris Boswell,7.0,PIT,K
Brandon McManus,6.0,DEN,K
Cairo Santos,6.0,CHI,K
Josh Lambo,6.0,FA,K
Mason Crosby,5.0,GB,K
Michael Badgley,5.0,IND,K
Robbie Gould,5.0,SF,K
Graham Gano,5.0,NYG,K
Matt Bryant,5.0,FA,K
Randy Bullock,4.0,TEN,K
Wil Lutz,4.0,NO,K
Jason Sanders,3.0,MIA,K
Greg Joseph,1.0,MIN,K
Matt Gay,0.0,LAR,K
Tristan Vizcaino,0.0,LAC,K
Younghoe Koo,0.0,ATL,K
Michael Palardy,0.0,MIA,K
Chase McLaughlin,0.0,CLE,K
Evan McPherson,0.0,CIN,K
Brian Johnson,0.0,NO,K
Joey Slye,0.0,WAS,K
Rodrigo Blankenship,0.0,IND,K
Tyler Bass,0.0,BUF,K
Lirim Hajrullahu,0.0,DAL,K
Nick Folk,0.0,NE,K
Kai Forbath,0.0,LAR,K
