,Player,FPTS,Team,Pos
10,Robert Woods,265.6,LAR,WR
11,Keenan Allen,260.1,LAC,WR
12,Brandin Cooks,243.2,HOU,WR
13,TY Hilton,239.0,IND,WR
14,Odell Beckham,230.4,LAR,WR
15,Tyler Lockett,222.4,SEA,WR
16,Tyler Boyd,221.1,CIN,WR
17,Jarvis Landry,217.1,CLE,WR
18,Amari Cooper,215.4,DAL,WR
19,Julian Edelman,207.4,FA,WR
20,Kenny Golladay,207.1,NYG,WR
21,Calvin Ridley,206.8,ATL,WR
22,Emmanuel Sanders,198.2,BUF,WR
26,Chris Godwin,185.2,TB,WR
27,Corey Davis,183.6,NYJ,WR
29,Sterling Shepard,182.5,NYG,WR
31,Mike Williams,180.2,LAC,WR
33,Nelson Agholor,165.4,NE,WR
34,Zay Jones,165.2,LV,WR
35,DJ Moore,157.0,CAR,WR
38,Robby Anderson,156.4,CAR,WR
39,Allen Robinson,153.3,CHI,WR
41,DeSean Jackson,151.3,LV,WR
42,Cole Beasley,150.2,BUF,WR
43,AJ Green,149.4,ARI,WR
44,John Brown,143.9,FA,WR
46,Josh Gordon,138.7,KC,WR
47,Tyrell Williams,137.8,FA,WR
48,Curtis Samuel,136.8,WAS,WR
49,Courtland Sutton,136.3,DEN,WR
50,Cooper Kupp,135.1,LAR,WR
57,Christian Kirk,123.5,ARI,WR
62,Marvin Jones,115.8,JAC,WR
63,Sammy Watkins,115.1,BAL,WR
64,Kendrick Bourne,114.7,NE,WR
65,Marquez Valdes-Scantling,111.0,GB,WR
68,Will Fuller,106.3,MIA,WR
72,Tre'Quan Smith,100.7,NO,WR
73,Josh Reynolds,100.0,DET,WR
75,Michael Gallup,97.7,DAL,WR
79,Cordarrelle Patterson,90.5,ATL,WR
84,Randall Cobb,86.4,GB,WR
86,Jamison Crowder,82.8,NYJ,WR
93,Tajae Sharpe,71.2,ATL,WR
97,Zach Pascal,66.8,IND,WR
104,DeVante Parker,60.9,MIA,WR
107,Tim Patrick,60.2,DEN,WR
124,DeAndre Carter,42.3,WAS,WR
140,Brandon Marshall,30.6,FA,WR
141,DJ Chark,29.4,JAC,WR
165,Russell Gage,12.3,ATL,WR
201,Allen Lazard,1.7,GB,WR
206,Laviska Shenault,0.0,JAC,WR
207,Brandon Aiyuk,0.0,SF,WR
208,Donovan Peoples-Jones,0.0,CLE,WR
209,Michael Pittman,0.0,IND,WR
210,Devin Duvernay,0.0,BAL,WR
213,Justin Jefferson,0.0,MIN,WR
215,DeVonta Smith,0.0,PHI,WR
218,Van Jefferson,0.0,LAR,WR
219,Cedrick Wilson,0.0,DAL,WR
224,Gabriel Davis,0.0,BUF,WR
230,Jalen Reagor,0.0,PHI,WR
237,Jerry Jeudy,0.0,DEN,WR
238,Tee Higgins,0.0,CIN,WR
239,CeeDee Lamb,0.0,DAL,WR
245,Darnell Mooney,0.0,CHI,WR
248,Amon-Ra St,0.0,DET,WR
249,Rondale Moore,0.0,ARI,WR
250,Rashod Bateman,0.0,BAL,WR
251,Jaylen Waddle,0.0,MIA,WR
252,Ja'Marr Chase,0.0,CIN,WR
264,Nick Westbrook-Ikhine,0.0,TEN,WR
268,Juwan Johnson,0.0,NO,WR
272,Marquez Callaway,0.0,NO,WR
280,Quez Watkins,0.0,PHI,WR
281,KJ Osborn,0.0,MIN,WR
294,Parris Campbell,0.0,IND,WR
295,Terry McLaurin,0.0,WAS,WR
305,DK Metcalf,0.0,SEA,WR
306,AJ Brown,0.0,TEN,WR
308,Marquise Brown,0.0,BAL,WR
313,Hunter Renfrow,0.0,LV,WR
316,Deebo Samuel,0.0,SF,WR
326,Jalen Guyton,0.0,LAC,WR
333,Deonte Harris,0.0,NO,WR
339,Bryan Edwards,0.0,LV,WR
340,Tyler Johnson,0.0,TB,WR
341,Chase Claypool,0.0,PIT,WR
343,Diontae Johnson,0.0,PIT,WR
347,Jakobi Meyers,0.0,NE,WR
349,Mecole Hardman,0.0,KC,WR
356,Darius Slayton,0.0,NYG,WR
363,Joshua Palmer,0.0,LAC,WR
382,Terrace Marshall,0.0,CAR,WR
398,Kadarius Toney,0.0,NYG,WR
402,Elijah Moore,0.0,NYJ,WR
418,Nico Collins,0.0,HOU,WR
449,Kalif Raymond,0.0,DET,WR
464,Jamal Agnew,0.0,JAC,WR
0,Travis Kelce,294.6,KC,TE
1,Zach Ertz,280.3,ARI,TE
2,George Kittle,258.7,SF,TE
3,Eric Ebron,222.2,PIT,TE
4,Jared Cook,193.6,LAC,TE
5,Austin Hooper,163.0,CLE,TE
8,David Njoku,143.9,CLE,TE
10,Rob Gronkowski,131.2,TB,TE
12,Evan Engram,126.3,NYG,TE
13,OJ Howard,120.5,TB,TE
14,Jordan Reed,119.8,FA,TE
16,Mark Andrews,107.2,BAL,TE
17,CJ Uzomah,104.9,CIN,TE
18,Cameron Brate,92.9,TB,TE
19,Dallas Goedert,90.4,PHI,TE
20,Benjamin Watson,87.0,FA,TE
21,Gerald Everett,86.6,SEA,TE
24,Greg Olsen,80.1,FA,TE
25,Blake Jarwin,75.7,DAL,TE
26,Vernon Davis,75.7,FA,TE
28,Ricky Seals-Jones,74.3,WAS,TE
31,Tyler Higbee,65.2,LAR,TE
32,Jonnu Smith,63.8,NE,TE
34,Jack Doyle,60.5,IND,TE
50,Mike Gesicki,40.2,MIA,TE
60,Mo Alie-Cox,32.3,IND,TE
67,Dalton Schultz,23.6,DAL,TE
70,Logan Thomas,20.3,WAS,TE
75,Robert Tonyan,17.7,GB,TE
78,Darren Waller,15.6,LV,TE
88,Anthony Firkser,11.1,TEN,TE
105,Dan Arnold,4.0,JAC,TE
117,Cole Kmet,0.0,CHI,TE
140,Adam Trautman,0.0,NO,TE
152,Juwan Johnson,0.0,NO,TE
159,Tyler Conklin,0.0,MIN,TE
165,Noah Fant,0.0,DEN,TE
183,TJ Hockenson,0.0,DET,TE
187,Foster Moreau,0.0,LV,TE
196,Irv Smith,0.0,MIN,TE
198,Dawson Knox,0.0,BUF,TE
200,Pat Freiermuth,0.0,PIT,TE
233,Kyle Pitts,0.0,ATL,TE
251,Hunter Henry,0.0,NE,TE
0,Bears,191.0,CHI,DST
1,Rams,147.0,LAR,DST
2,Texans,144.0,HOU,DST
3,Patriots,135.0,NE,DST
4,Ravens,126.0,BAL,DST
5,Vikings,124.0,MIN,DST
6,Chiefs,123.0,KC,DST
7,Broncos,122.0,DEN,DST
8,Seahawks,122.0,SEA,DST
9,Team,120.0,WAS,DST
10,Colts,116.0,IND,DST
11,Titans,113.0,TEN,DST
12,Steelers,110.0,PIT,DST
13,Saints,108.0,NO,DST
14,Jaguars,107.0,JAC,DST
15,Bills,107.0,BUF,DST
16,Chargers,107.0,LAC,DST
17,Dolphins,104.0,MIA,DST
18,Cardinals,100.0,ARI,DST
19,Lions,98.0,DET,DST
20,Cowboys,98.0,DAL,DST
21,Browns,98.0,CLE,DST
22,Eagles,97.0,PHI,DST
23,Packers,92.0,GB,DST
24,Jets,91.0,NYJ,DST
25,Panthers,88.0,CAR,DST
26,Giants,84.0,NYG,DST
27,Bengals,83.0,CIN,DST
28,Falcons,77.0,ATL,DST
29,Buccaneers,68.0,TB,DST
30,49ers,53.0,SF,DST
31,Raiders,39.0,LV,DST
1,Justin Tucker,160.0,BAL,K
2,Wil Lutz,151.0,NO,K
3,Jason Myers,151.0,SEA,K
4,Harrison Butker,147.0,KC,K
5,Mason Crosby,145.0,GB,K
6,Aldrick Rosas,141.0,DET,K
7,Robbie Gould,139.0,SF,K
10,Matt Prater,129.3,ARI,K
11,Greg Zuerlein,128.0,DAL,K
12,Sebastian Janikowski,128.0,FA,K
14,Jake Elliott,122.0,PHI,K
16,Dustin Hopkins,121.0,LAC,K
17,Ryan Succop,117.0,TB,K
18,Matt Bryant,108.0,FA,K
20,Randy Bullock,106.0,TEN,K
21,Brandon McManus,106.0,DEN,K
23,Jason Sanders,98.0,MIA,K
24,Chris Boswell,93.1,PIT,K
25,Daniel Carlson,90.0,LV,K
26,Josh Lambo,87.0,FA,K
28,Greg Joseph,83.0,MIN,K
29,Graham Gano,82.0,NYG,K
30,Michael Badgley,79.0,IND,K
31,Cairo Santos,67.0,CHI,K
32,Zane Gonzalez,41.0,CAR,K
38,Kai Forbath,16.0,LAR,K
43,Matt Gay,0.0,LAR,K
47,Joey Slye,0.0,WAS,K
48,Younghoe Koo,0.0,ATL,K
49,Chase McLaughlin,0.0,CLE,K
50,Evan McPherson,0.0,CIN,K
56,Brian Johnson,0.0,WAS,K
58,Rodrigo Blankenship,0.0,IND,K
60,Tyler Bass,0.0,BUF,K
72,Nick Folk,0.0,NE,K
78,Michael Palardy,0.0,MIA,K
