,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
92,Kenjon Barner,RB,PHI,7,8,12,bye,1,8,3,6,3,3,18,6,13,0,12,0,0,100,7.7
93,Mike Glennon,QB,TB,0,0,0,0,0,bye,0,0,12,3,0,0,0,0,0,0,0,15,7.5
94,Matt Barkley,QB,CHI,0,0,0,0,0,0,28,0,bye,0,0,80,63,56,66,69,50,412,58.9
95,Geno Smith,QB,NYJ,0,0,0,0,0,9,24,0,0,0,bye,0,0,0,0,0,0,33,16.5
96,Zach Ertz,TE,PHI,60,0,0,bye,52,46,48,61,62,59,70,55,70,67,81,48,70,849,60.6
97,Jordan Reed,TE,WAS,50,58,64,55,60,0,0,72,bye,50,57,36,0,10,19,0,34,565,47.1
98,Tyler Eifert,TE,CIN,0,0,0,0,0,0,15,74,bye,47,62,66,47,59,58,0,0,428,53.5
99,Levine Toilolo,TE,ATL,22,37,29,37,44,42,33,27,39,14,bye,40,41,25,41,48,53,572,35.8
100,Vance McDonald,TE,SF,51,38,10,0,0,30,54,bye,42,44,47,57,53,17,0,0,0,443,40.3
101,Kyle Juszczyk,RB,BAL,21,15,19,39,42,43,30,bye,34,36,25,25,20,26,32,31,25,463,28.9
102,Luke Willson,TE,SEA,64,16,47,40,bye,19,0,0,0,0,34,2,0,27,38,27,36,350,31.8
103,Latavius Murray,RB,OAK,45,36,31,34,0,0,42,36,43,0,29,49,50,52,31,31,16,525,37.5
104,Ryan Griffin,TE,HOU,35,27,47,32,20,22,21,30,bye,34,35,27,17,22,66,19,54,508,31.8
105,Demetrius Harris,TE,KC,28,19,31,15,bye,36,27,36,30,22,20,30,31,33,20,50,31,459,28.7
106,Zach Line,RB,MIN,16,14,16,24,27,bye,15,5,9,11,18,6,10,29,3,0,7,210,14.0
107,James Develin,RB,NE,17,24,23,5,22,8,11,7,bye,22,34,25,26,26,43,40,17,350,21.9
108,Jack Doyle,TE,IND,40,45,54,41,28,64,65,52,50,bye,40,38,51,40,51,36,59,754,47.1
109,Patrick DiMarco,RB,ATL,13,23,19,24,27,21,15,11,23,12,bye,20,27,23,28,25,12,323,20.2
110,Blake Bortles,QB,JAC,72,66,66,72,bye,60,68,72,77,78,65,68,84,66,53,72,73,1112,69.5
111,AJ McCarron,QB,CIN,0,0,0,0,0,2,0,0,bye,0,0,0,0,0,0,0,0,2,2.0
112,Derek Carr,QB,OAK,73,75,65,60,72,55,72,94,85,0,53,70,71,75,62,63,0,1045,69.7
113,Carlos Hyde,RB,SF,57,39,40,44,64,32,0,bye,0,42,41,49,32,30,34,31,0,535,41.2
114,Devonta Freeman,RB,ATL,36,36,38,35,40,36,49,46,46,43,bye,39,42,22,30,34,35,607,37.9
115,Sammy Watkins,WR,BUF,42,40,0,0,0,0,0,0,0,bye,0,25,49,49,42,83,51,381,47.6
116,Mike Evans,WR,TB,55,69,78,62,64,bye,57,60,50,64,65,55,56,51,54,55,54,949,59.3
117,Brandin Cooks,WR,NO,62,53,78,50,bye,56,67,38,57,38,64,45,52,52,66,48,55,881,55.1
118,Davante Adams,WR,GB,59,54,25,bye,60,31,70,58,65,74,65,64,49,53,60,55,70,912,57.0
119,Jordan Matthews,WR,PHI,71,71,55,bye,57,49,45,69,65,75,73,24,0,76,76,39,0,845,60.4
120,Donte Moncrief,WR,IND,69,9,0,0,0,0,0,59,66,bye,56,62,64,47,0,36,0,468,52.0
121,Allen Robinson,WR,JAC,68,57,64,70,bye,57,65,68,73,70,62,66,83,62,51,62,70,1048,65.5
122,Odell Beckham,WR,NYG,56,78,67,66,56,55,54,bye,62,76,67,44,59,67,60,88,48,1003,62.7
123,Jarvis Landry,WR,MIA,52,60,66,43,42,64,68,bye,60,49,54,55,61,58,36,66,58,892,55.8
124,Eric Ebron,TE,DET,60,71,58,53,0,0,0,49,52,bye,46,49,54,52,52,61,51,708,54.5
125,Trey Burton,TE,PHI,0,31,33,bye,11,6,13,12,17,9,7,19,53,37,22,16,42,328,21.9
126,James White,RB,NE,25,28,16,21,38,39,24,33,bye,29,24,26,29,29,24,19,21,425,26.6
127,Cody Latimer,WR,DEN,17,18,24,21,30,2,0,0,0,1,bye,0,8,7,4,29,56,217,18.1
128,Jimmy Garoppolo,QB,NE,71,42,0,0,9,0,0,4,bye,0,0,0,0,0,0,15,3,144,24.0
129,Jerick McKinnon,RB,MIN,16,12,36,46,41,bye,16,0,26,33,31,36,52,40,34,54,40,513,34.2
130,John Brown,WR,ARI,35,28,47,70,64,48,0,38,bye,30,60,26,21,26,35,29,38,595,39.7
131,Richard Rodgers,TE,GB,25,36,43,bye,73,47,48,26,49,65,21,26,27,34,20,29,35,604,37.8
132,Damien Williams,RB,MIA,6,0,11,13,8,12,6,bye,14,12,9,11,9,17,7,11,14,160,10.7
133,Albert Wilson,WR,KC,49,41,21,51,bye,9,11,20,41,46,40,58,37,11,5,17,10,467,29.2
134,Taylor Gabriel,WR,ATL,0,9,36,18,14,13,0,32,33,34,bye,36,28,46,24,28,0,351,27.0
135,Willie Snead,WR,NO,52,54,0,50,bye,51,60,56,52,30,49,40,49,48,75,40,37,743,49.5
136,Allen Hurns,WR,JAC,63,58,57,64,bye,49,57,61,43,72,59,54,0,0,0,0,0,637,57.9
137,Bennie Fowler,WR,DEN,0,0,11,20,18,30,15,12,10,10,bye,21,0,34,5,18,37,241,18.5
138,Dontrelle Inman,WR,SD,58,59,53,68,44,60,66,79,76,71,0,53,53,61,48,56,53,958,59.9
139,Keith Smith,RB,DAL,4,5,8,8,10,14,bye,6,14,0,9,8,10,4,10,13,12,135,8.4
140,Adam Thielen,WR,MIN,35,38,33,39,68,bye,67,54,35,57,44,55,64,45,18,75,61,788,49.3
141,Cameron Brate,TE,TB,25,33,70,62,54,bye,45,38,53,48,59,41,40,56,49,32,0,705,47.0
142,Roosevelt Nix,RB,PIT,0,0,0,0,0,4,2,bye,0,2,5,15,11,25,15,11,10,100,10.0
143,Josh Hill,TE,NO,13,0,0,0,bye,46,42,61,63,26,43,58,10,0,0,0,0,362,40.2
144,Darren Fells,TE,ARI,23,45,50,39,0,31,8,0,bye,34,11,7,25,31,20,19,27,370,26.4
145,Seth Roberts,WR,OAK,60,51,40,41,51,48,47,63,26,0,22,55,55,71,33,51,32,746,46.6
146,Marcus Mariota,QB,TEN,66,66,68,67,74,62,73,60,65,60,71,58,bye,67,66,41,0,964,64.3
147,Jameis Winston,QB,TB,64,79,90,71,73,bye,75,68,68,72,77,67,65,66,61,61,63,1120,70.0
148,Amari Cooper,WR,OAK,72,69,53,55,65,55,68,90,64,0,42,71,63,74,51,61,42,995,62.2
149,DeVante Parker,WR,MIA,0,59,58,40,36,60,49,bye,57,41,54,37,49,58,28,53,57,736,49.1
150,Kevin White,WR,CHI,56,43,52,41,0,0,0,0,bye,0,0,0,0,0,0,0,0,192,48.0
151,Melvin Gordon,RB,SD,23,51,51,62,46,52,65,65,65,70,0,51,49,8,0,0,0,658,50.6
152,Brett Hundley,QB,GB,0,0,0,bye,0,0,0,0,0,4,4,0,0,11,0,3,0,22,5.5
153,Todd Gurley,RB,LAR,37,50,52,51,55,42,49,bye,43,42,43,34,35,64,51,50,50,748,46.8
154,Devin Funchess,WR,CAR,38,55,42,27,21,45,bye,30,29,29,37,32,28,21,44,15,0,493,32.9
155,Maxx Williams,TE,BAL,9,23,12,10,0,0,0,bye,0,0,0,0,0,0,0,0,0,54,13.5
156,Ameer Abdullah,RB,DET,40,17,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,57,28.5
157,Tevin Coleman,RB,ATL,32,30,27,29,26,31,14,0,0,0,bye,32,32,21,31,23,25,353,27.2
158,Sean Mannion,QB,LAR,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,16,16,16.0
159,Duke Johnson,RB,CLE,23,31,41,41,28,32,30,31,22,21,32,35,bye,24,29,33,4,457,28.6
160,T.J. Yeldon,RB,JAC,63,44,33,54,bye,37,39,41,43,41,11,23,53,53,39,3,0,577,38.5
161,Mike Davis,RB,SF,3,4,0,0,6,24,21,bye,8,0,0,0,0,0,0,0,0,66,8.3
162,David Johnson,RB,ARI,58,41,79,56,53,67,87,61,bye,70,63,58,68,70,59,59,15,964,60.3
163,Malcolm Brown,RB,LAR,11,0,0,2,8,0,0,0,2,0,2,7,0,4,9,9,7,61,3.6
164,Nick O'Leary,TE,BUF,3,3,14,27,17,38,20,43,17,bye,14,18,70,12,28,28,21,373,23.3
165,Jesse James,TE,PIT,68,74,58,52,72,52,54,bye,31,52,68,41,45,50,29,49,61,856,53.5
166,Tyler Kroft,TE,CIN,7,42,43,44,23,26,42,19,bye,23,17,21,28,29,11,0,0,375,26.8
167,Nick Boyle,TE,BAL,0,0,0,0,0,0,0,bye,0,0,0,20,29,20,19,17,10,115,19.2
168,MyCole Pruitt,TE,Multi,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,3,15,41,10.3
169,Blake Bell,TE,SF,9,10,24,5,14,0,4,bye,1,0,4,15,5,13,2,0,0,106,8.2
170,Nelson Agholor,WR,PHI,67,56,52,bye,48,45,43,69,69,72,69,0,80,68,85,54,6,883,58.9
171,Justin Hardy,WR,ATL,37,14,21,7,9,17,32,12,10,1,bye,14,13,32,27,11,35,292,18.3
172,Tyler Lockett,WR,SEA,62,27,23,14,bye,42,49,34,26,42,35,52,44,43,38,26,0,557,37.1
173,Devin Smith,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,21,35,8.8
174,Breshad Perriman,WR,BAL,21,31,26,32,36,56,43,bye,35,39,24,23,21,28,13,27,31,486,30.4
175,Jamison Crowder,WR,WAS,47,48,44,34,37,56,55,64,bye,46,38,59,50,41,56,56,48,779,48.7
176,Ty Montgomery,RB,GB,11,0,4,bye,2,36,60,0,31,22,28,16,29,30,51,37,35,392,26.1
177,Phillip Dorsett,WR,IND,52,61,64,71,64,53,0,56,42,bye,34,47,40,53,57,38,64,796,53.1
178,Stefon Diggs,WR,MIN,56,51,49,69,0,bye,61,55,57,50,43,0,59,38,49,57,0,694,53.4
179,Chris Manhertz,TE,Multi,0,5,15,23,0,0,0,0,0,0,0,0,0,0,0,5,7,55,7.9
180,C.J. Uzomah,TE,CIN,52,41,39,42,54,48,14,0,bye,1,0,0,0,0,0,61,59,411,41.1
181,Malcolm Johnson,RB,CLE,10,10,23,11,9,10,12,0,0,0,0,0,bye,0,0,0,0,85,12.1
182,Darren Waller,TE,BAL,0,0,0,0,18,10,9,bye,23,29,15,27,28,12,10,28,26,235,19.6
183,Trevor Siemian,QB,DEN,58,71,67,20,0,74,64,65,54,83,bye,80,0,65,62,60,73,896,64.0
184,James O'Shaughnessy,TE,KC,0,0,1,0,bye,12,9,14,13,6,6,8,3,4,7,13,15,111,6.9
185,Chris Conley,WR,KC,61,54,51,70,bye,38,30,54,51,54,51,85,42,37,44,54,40,816,51.0
186,Geoff Swaim,TE,DAL,17,18,29,24,22,29,bye,19,38,7,0,0,0,0,0,0,0,203,22.6
187,Michael Burton,RB,DET,10,5,8,4,13,15,9,8,7,bye,8,2,1,1,2,2,0,95,6.3
