,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
24,Matt Schaub,QB,ATL,0,0,0,0,0,0,9,76,bye,0,1,11,0,2,0,0,0,99,16.5
25,Matthew Slater,WR,NE,0,3,2,3,0,2,2,0,0,bye,1,2,0,0,2,3,0,20,1.3
26,Matthew Stafford,QB,DET,84,60,61,76,bye,55,75,62,69,0,0,0,0,0,0,0,0,542,67.8
27,Philip Rivers,QB,LAC,63,65,74,61,70,62,63,45,71,75,79,bye,62,41,62,60,77,1030,64.4
28,Ryan Fitzpatrick,QB,MIA,44,38,5,0,bye,27,72,57,69,62,69,63,71,72,71,90,68,878,58.5
29,Ted Ginn,WR,NO,49,38,38,50,44,44,53,41,bye,46,36,36,27,42,19,25,18,606,37.9
30,Tom Brady,QB,NE,70,71,72,63,71,81,77,69,67,bye,74,68,87,66,65,73,61,1135,70.9
31,Vernon Davis,TE,WAS,52,44,54,36,0,0,0,0,0,bye,0,0,0,0,0,0,0,186,46.5
32,Golden Tate,WR,NYG,0,0,0,0,45,49,69,69,67,66,bye,50,0,46,38,59,67,625,56.8
33,Andre Roberts,WR,BUF,0,0,2,8,12,bye,7,5,18,13,9,4,1,0,17,13,0,109,8.4
34,Colt McCoy,QB,WAS,0,0,0,0,56,0,0,0,0,bye,0,0,0,0,0,0,0,56,56.0
35,Emmanuel Sanders,WR,Multi,55,76,58,44,38,25,59,53,66,24,32,32,54,61,61,56,46,840,49.4
36,Jimmy Graham,TE,GB,33,51,22,56,50,54,32,41,32,41,bye,38,27,31,25,41,48,622,38.9
37,Antonio Brown,WR,NE,0,24,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,24,24.0
38,Julio Jones,WR,ATL,50,51,45,62,55,45,41,58,bye,60,53,48,0,55,59,57,73,812,54.1
39,Cam Newton,QB,CAR,66,75,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,141,70.5
40,Mark Ingram,RB,BAL,25,45,50,32,52,31,30,bye,28,22,32,24,35,33,34,30,0,503,33.5
41,Randall Cobb,WR,DAL,48,52,53,47,59,0,33,bye,52,57,45,28,65,58,29,48,46,720,48.0
42,Kyle Rudolph,TE,MIN,54,65,54,50,60,68,55,60,54,55,54,bye,46,46,35,36,1,793,49.6
43,Andy Dalton,QB,CIN,75,69,60,66,66,59,70,80,bye,0,0,0,65,73,66,90,69,908,69.8
44,Lance Kendricks,TE,Multi,0,0,11,38,19,2,2,0,1,6,0,0,0,11,2,0,0,92,7.7
45,Luke Stocker,TE,ATL,22,27,23,23,17,36,14,31,bye,30,43,31,0,40,22,40,37,436,29.1
46,Taiwan Jones,RB,HOU,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,14,14,1.3
47,Anthony Sherman,RB,KC,10,6,3,2,5,1,12,8,2,4,9,bye,6,3,14,4,9,98,6.1
48,Dion Lewis,RB,TEN,24,29,42,17,22,27,17,20,34,14,bye,8,11,23,24,43,11,366,22.9
49,Lee Smith,TE,BUF,26,38,40,33,21,bye,23,19,19,17,7,13,14,2,31,2,15,320,20.0
50,Dwayne Harris,WR,OAK,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.7
51,Tyrod Taylor,QB,LAC,1,0,0,7,1,0,0,0,0,0,0,bye,1,19,0,2,0,31,3.9
52,Virgil Green,TE,LAC,26,57,27,0,54,23,11,13,24,21,24,bye,22,25,23,12,17,379,25.3
53,Robert Griffin,QB,BAL,23,0,0,0,0,0,0,bye,0,12,9,16,0,2,9,0,68,139,19.9
54,Ryan Tannehill,QB,TEN,2,0,0,0,0,28,62,59,72,50,bye,53,59,61,68,62,61,637,53.1
55,Nick Foles,QB,JAC,11,0,0,0,0,0,0,0,0,bye,62,85,27,0,0,0,0,185,46.3
56,Kirk Cousins,QB,MIN,53,65,60,60,67,70,73,72,70,72,62,bye,54,72,62,54,0,966,64.4
57,Russell Wilson,QB,SEA,51,78,83,62,73,81,71,60,74,73,bye,61,75,66,67,57,75,1107,69.2
58,Alshon Jeffery,WR,PHI,59,6,0,50,61,61,56,52,66,bye,0,0,62,20,0,0,0,493,49.3
59,Mohamed Sanu,WR,Multi,62,52,49,62,61,46,47,37,67,0,41,0,19,39,56,70,50,758,50.5
60,T.Y. Hilton,WR,IND,56,63,35,0,67,bye,67,60,0,0,0,25,0,0,29,38,38,478,47.8
61,Travis Benjamin,WR,LAC,30,43,42,0,40,34,0,0,0,0,0,bye,0,0,0,0,0,189,37.8
62,Marvin Jones,WR,DET,68,55,50,74,bye,45,72,55,61,75,54,67,71,71,0,0,0,818,62.9
63,Rhett Ellison,TE,NYG,22,33,22,40,29,50,28,30,36,34,bye,0,0,0,0,0,0,324,32.4
64,Alfred Morris,RB,Multi,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3.0
65,Brandon Bolden,RB,NE,1,0,21,5,11,11,18,3,0,bye,10,7,1,2,1,3,0,94,6.3
66,Alex Tanney,QB,NYG,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,2,0,0,2,2.0
67,Derek Carrier,TE,OAK,0,9,10,7,5,0,21,6,10,12,18,7,9,8,23,18,14,177,11.1
68,Case Keenum,QB,WAS,64,59,77,17,0,59,45,28,0,bye,0,1,0,0,0,35,62,447,44.7
69,Josh Gordon,WR,Multi,55,57,67,56,66,25,0,0,0,27,0,20,27,37,25,0,0,462,42.0
70,Cole Beasley,WR,BUF,45,35,45,67,41,bye,30,46,28,46,64,60,59,72,45,46,0,729,48.6
71,Chris Hogan,WR,CAR,5,3,17,8,0,0,bye,0,0,0,0,0,0,0,6,52,63,154,22.0
72,Garrett Celek,TE,SF,0,0,0,bye,0,0,0,0,0,10,23,15,6,6,0,0,0,60,12.0
73,Travis Kelce,TE,KC,50,64,63,66,56,53,55,59,57,78,64,bye,59,76,62,61,48,971,60.7
74,Marquise Goodwin,WR,SF,48,35,53,bye,46,47,7,0,0,10,23,0,0,0,0,0,0,269,29.9
75,DeAndre Hopkins,WR,HOU,63,60,57,65,68,87,63,76,68,bye,56,58,46,76,63,65,0,971,64.7
76,Robert Woods,WR,LAR,72,66,62,86,65,52,58,59,bye,75,0,34,67,67,74,70,78,985,65.7
77,Kenny Stills,WR,HOU,27,24,32,11,0,0,59,76,58,bye,59,36,37,73,39,56,0,587,45.2
78,Cordarrelle Patterson,RB,CHI,20,15,9,7,2,bye,15,15,8,14,2,12,27,11,38,6,2,203,12.7
79,Keenan Allen,WR,LAC,52,59,67,56,69,60,59,31,62,64,70,bye,59,40,58,53,72,931,58.2
80,Tavon Austin,WR,DAL,25,0,0,11,16,76,13,bye,11,14,29,13,19,21,26,16,14,304,21.7
81,Giovani Bernard,RB,CIN,47,27,25,21,26,32,33,31,bye,18,30,21,12,29,22,51,18,443,27.7
82,Le'Veon Bell,RB,NYJ,71,57,50,bye,51,50,56,49,61,48,39,36,61,0,51,56,46,782,52.1
83,Chris Thompson,RB,WAS,41,27,40,26,31,13,0,0,0,bye,0,0,23,24,18,38,30,311,28.3
84,Rex Burkhead,RB,NE,32,17,56,12,0,0,0,13,25,bye,21,14,4,18,20,19,13,264,20.3
85,Kenjon Barner,RB,ATL,0,0,3,0,0,0,4,5,bye,10,14,13,6,0,3,2,5,65,4.6
86,Mike Glennon,QB,OAK,0,0,0,0,0,0,7,0,0,0,0,16,0,0,0,0,0,23,11.5
87,Matt Barkley,QB,BUF,0,0,0,21,0,bye,0,0,0,0,0,0,0,0,0,0,57,78,39.0
88,Zach Ertz,TE,PHI,61,80,74,47,56,51,48,66,65,bye,64,64,51,78,68,59,0,932,62.1
89,Tyler Eifert,TE,CIN,37,18,28,28,18,29,33,57,bye,23,20,22,24,34,36,57,27,491,30.7
90,Levine Toilolo,TE,SF,11,33,10,bye,17,37,10,7,19,12,1,0,0,0,11,8,15,191,14.7
91,Vance McDonald,TE,PIT,48,51,15,0,35,39,bye,57,50,71,69,61,48,31,0,65,44,684,48.9
92,Kyle Juszczyk,RB,SF,31,37,50,bye,34,0,0,0,0,39,39,23,25,27,25,24,34,388,32.3
93,Luke Willson,TE,SEA,0,0,0,15,42,56,34,43,17,14,bye,0,0,0,0,22,0,243,30.4
94,Latavius Murray,RB,NO,18,22,12,17,23,28,64,61,bye,16,27,24,13,24,22,25,37,433,27.1
95,Ryan Griffin,TE,NYJ,67,57,46,bye,56,50,50,55,62,42,59,55,60,3,0,0,0,662,50.9
96,Ryan Griffin,QB,TB,0,0,0,0,0,0,bye,0,0,0,0,0,0,6,4,0,0,10,5.0
97,Demetrius Harris,TE,CLE,11,50,61,45,25,18,bye,13,51,33,41,50,40,0,42,36,32,548,36.5
98,Zach Line,RB,NO,10,21,11,7,19,13,27,32,bye,8,21,0,0,0,20,26,0,215,17.9
99,James Develin,RB,NE,32,26,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,58,29.0
100,Jack Doyle,TE,IND,43,49,46,56,59,bye,56,46,54,42,42,46,66,49,46,61,37,798,49.9
101,Patrick DiMarco,RB,BUF,31,13,9,14,9,bye,9,6,14,11,4,4,9,1,25,6,2,167,10.4
102,Teddy Bridgewater,QB,NO,0,54,55,68,64,63,74,5,bye,0,0,0,0,0,6,0,11,400,44.4
103,Blake Bortles,QB,LAR,0,0,0,0,0,0,3,0,bye,1,0,0,7,0,0,0,0,11,3.7
104,AJ McCarron,QB,HOU,0,0,0,0,0,0,0,0,0,bye,4,0,0,0,0,0,65,69,34.5
105,Derek Carr,QB,OAK,55,62,59,64,72,0,59,55,70,58,68,42,59,62,75,63,73,996,62.3
106,Logan Thomas,TE,DET,7,6,17,23,bye,18,12,7,19,18,22,27,19,40,42,31,28,336,21.0
107,Carlos Hyde,RB,HOU,23,39,31,33,44,56,25,43,38,bye,21,29,21,40,42,39,5,529,33.1
108,Devonta Freeman,RB,ATL,36,40,54,49,40,48,31,60,bye,30,0,0,60,45,53,58,54,658,47.0
109,Sammy Watkins,WR,KC,65,69,65,67,2,0,0,51,53,63,55,bye,40,70,52,51,37,740,52.9
110,Mike Evans,WR,TB,59,55,67,67,55,73,bye,74,65,73,64,59,62,18,0,0,0,791,60.8
111,Brandin Cooks,WR,LAR,70,65,57,79,46,51,59,3,bye,0,0,40,61,26,53,41,49,700,50.0
112,Davante Adams,WR,GB,59,68,49,55,0,0,0,0,42,50,bye,59,51,50,55,62,78,678,56.5
113,Jordan Matthews,WR,Multi,0,0,0,0,0,0,3,0,0,0,62,72,0,0,0,0,0,137,45.7
114,Donte Moncrief,WR,Multi,60,18,0,3,0,14,0,15,0,0,3,13,9,0,0,0,0,135,16.9
115,Allen Robinson,WR,CHI,68,54,56,61,56,bye,62,71,42,54,75,66,59,68,80,59,72,1003,62.7
116,Odell Beckham,WR,CLE,71,58,67,64,46,67,bye,62,71,66,64,74,62,47,68,54,49,990,61.9
117,Jarvis Landry,WR,CLE,71,63,67,51,46,66,bye,56,71,64,64,70,64,48,68,50,54,973,60.8
118,Eric Ebron,TE,IND,25,33,35,27,27,bye,32,22,24,42,29,29,0,0,0,0,0,325,29.5
119,Trey Burton,TE,CHI,0,26,38,41,42,bye,42,47,27,20,0,0,0,0,0,0,0,283,35.4
120,James White,RB,NE,33,22,0,33,30,31,44,28,28,bye,32,21,68,40,25,33,22,490,32.7
121,Cody Latimer,WR,NYG,60,40,0,27,31,23,23,33,11,6,bye,9,32,4,15,42,14,370,24.7
122,Jimmy Garoppolo,QB,SF,66,70,79,bye,75,77,64,58,70,82,73,48,55,64,64,57,50,1052,65.8
123,John Brown,WR,BUF,56,56,68,73,52,bye,52,54,54,63,70,69,61,72,61,52,0,913,60.9
124,Richard Rodgers,TE,PHI,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,5,5,5.0
125,Garrett Gilbert,QB,CLE,0,0,0,0,3,0,bye,0,0,0,1,1,2,1,0,0,0,8,1.6
126,Damien Williams,RB,KC,45,39,0,0,34,21,17,25,43,60,12,bye,0,0,0,35,36,367,33.4
127,Albert Wilson,WR,MIA,6,0,0,0,bye,29,16,18,25,35,37,30,37,17,57,66,67,440,33.8
128,Taylor Gabriel,WR,CHI,65,52,46,0,0,bye,37,59,30,48,69,39,0,0,0,0,0,445,49.4
129,Willie Snead,WR,BAL,49,43,58,53,55,52,37,bye,41,22,40,47,24,37,41,30,50,679,42.4
130,Allen Hurns,WR,MIA,34,28,5,0,bye,26,26,19,30,58,60,57,57,57,33,32,0,522,37.3
131,Bennie Fowler,WR,NYG,50,53,38,49,0,0,27,23,41,53,bye,0,0,0,0,0,0,334,41.8
132,Dontrelle Inman,WR,Multi,26,36,24,50,0,0,0,0,0,0,0,0,0,0,31,8,16,191,27.3
133,Keith Smith,RB,ATL,6,11,11,10,8,18,10,11,bye,10,16,11,16,13,9,18,18,196,12.3
134,Senorise Perry,RB,BUF,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,9,9,0.8
135,Adam Thielen,WR,MIN,47,64,54,57,57,58,9,0,7,0,0,bye,0,0,33,50,0,436,43.6
136,Cameron Brate,TE,TB,30,16,31,18,14,30,bye,54,11,15,50,21,27,24,31,31,27,430,26.9
137,Roosevelt Nix,RB,PIT,0,0,0,0,0,0,bye,19,15,0,0,0,0,0,0,0,0,34,11.3
138,Josh Hill,TE,NO,32,27,33,41,51,41,51,55,bye,22,31,30,29,62,47,42,55,649,40.6
139,Darren Fells,TE,HOU,32,43,38,43,55,79,41,71,57,bye,42,52,41,42,52,52,0,740,46.3
140,Diontae Spencer,WR,DEN,0,2,0,2,2,5,1,7,24,bye,5,5,2,2,3,7,3,70,4.4
141,Seth Roberts,WR,BAL,51,26,51,44,52,33,19,bye,29,18,44,34,32,27,36,35,21,552,34.5
142,Kyle Nelson,TE,SF,0,0,0,bye,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.1
143,Marcus Mariota,QB,TEN,57,59,79,62,57,38,0,0,0,0,bye,0,0,0,0,0,2,354,50.6
144,Jameis Winston,QB,TB,69,60,75,74,57,80,bye,81,76,83,67,64,74,72,71,73,51,1127,70.4
145,Amari Cooper,WR,DAL,52,63,61,56,62,3,56,bye,59,63,41,51,63,57,50,46,62,845,52.8
146,DeVante Parker,WR,MIA,37,57,67,43,bye,66,61,45,57,62,62,63,58,18,67,75,67,905,56.6
147,Melvin Gordon,RB,LAC,0,0,0,0,32,37,33,25,45,47,41,bye,40,29,25,37,36,427,35.6
148,Brett Hundley,QB,ARI,0,0,0,0,0,0,0,3,0,0,0,bye,0,0,0,32,5,40,13.3
149,Todd Gurley,RB,LAR,53,42,47,66,65,0,46,32,bye,55,41,50,54,54,71,54,56,786,52.4
150,Devin Funchess,WR,IND,36,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,0,36,36.0
151,Maxx Williams,TE,ARI,22,14,13,22,42,40,31,20,42,30,37,bye,18,31,40,45,41,488,30.5
152,Ameer Abdullah,RB,MIN,4,7,1,7,10,6,1,3,8,5,8,bye,3,6,15,32,19,135,8.4
153,Tevin Coleman,RB,SF,18,0,0,bye,25,43,42,31,38,40,37,29,10,10,19,24,15,381,27.2
154,Sean Mannion,QB,MIN,0,0,2,0,0,0,0,0,0,0,0,bye,0,0,3,0,49,54,18.0
155,Duke Johnson,RB,HOU,41,25,28,43,29,31,38,33,32,bye,35,29,37,39,21,29,21,511,31.9
156,T.J. Yeldon,RB,BUF,2,3,29,44,31,bye,0,0,0,0,0,0,0,0,0,0,41,150,25.0
157,Mike Davis,RB,Multi,40,15,1,0,4,0,0,11,0,0,0,0,0,0,0,0,8,79,6.6
158,David Johnson,RB,ARI,76,34,65,54,52,52,3,0,0,29,8,bye,15,21,13,15,0,437,33.6
159,Malcolm Brown,RB,LAR,21,25,17,22,3,35,0,0,bye,12,10,2,18,14,3,14,26,222,15.9
160,Nick O'Leary,TE,Multi,20,14,27,24,0,19,19,16,0,0,0,45,47,45,21,22,0,319,26.6
161,Jesse James,TE,DET,50,29,35,36,bye,33,27,22,19,28,13,32,25,38,38,29,39,493,30.8
162,Tyler Kroft,TE,BUF,0,0,0,0,0,bye,24,33,16,29,23,22,12,19,19,17,30,244,22.2
163,Nick Boyle,TE,BAL,43,47,43,41,51,53,39,bye,56,35,51,49,59,54,48,49,50,768,48.0
164,MyCole Pruitt,TE,TEN,34,28,26,37,25,21,30,33,11,18,bye,27,26,33,31,27,32,439,27.4
165,Blake Bell,TE,KC,33,25,31,23,28,19,29,18,30,34,0,bye,34,15,31,26,21,397,26.5
166,Nelson Agholor,WR,PHI,59,77,73,56,59,56,56,55,74,bye,64,0,61,0,0,0,0,690,62.7
167,Justin Hardy,WR,ATL,21,11,5,14,9,9,10,11,bye,4,12,15,26,12,5,21,12,197,12.3
168,Tyler Lockett,WR,SEA,46,69,81,60,67,78,70,55,68,52,bye,52,66,59,53,48,70,994,62.1
169,Devin Smith,WR,DAL,6,18,66,46,0,0,0,bye,0,0,0,0,0,0,0,0,0,136,34.0
170,Breshad Perriman,WR,TB,44,30,51,5,0,0,bye,57,47,56,36,25,43,65,67,70,48,644,46.0
171,Jamison Crowder,WR,NYJ,64,63,45,bye,31,49,47,42,57,47,40,41,62,56,51,52,55,802,50.1
172,Ty Montgomery,RB,NYJ,5,24,8,bye,8,6,7,6,2,5,15,12,4,23,13,9,4,151,9.4
173,Phillip Dorsett,WR,NE,61,35,70,39,4,0,72,64,66,bye,34,0,62,32,9,5,13,566,40.4
174,Stefon Diggs,WR,MIN,32,58,44,51,50,44,59,57,62,58,61,bye,51,53,46,46,0,772,51.5
175,Chris Manhertz,TE,CAR,18,30,30,10,0,37,bye,22,34,23,9,35,18,17,28,22,9,342,22.8
176,Jake Kumerow,WR,GB,1,6,0,0,48,65,41,34,13,21,bye,22,14,7,11,28,17,328,23.4
177,C.J. Uzomah,TE,CIN,53,42,28,26,42,26,30,45,bye,41,38,35,47,45,46,47,53,644,40.3
178,DeAndre Carter,WR,HOU,27,1,1,1,0,0,0,44,29,bye,4,0,7,0,0,29,65,208,13.0
179,Darren Waller,TE,OAK,55,59,53,58,56,0,61,53,55,56,64,52,54,60,66,51,69,922,57.6
180,Trevor Siemian,QB,NYJ,0,18,0,bye,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18.0
181,James O'Shaughnessy,TE,JAC,38,42,42,48,37,0,0,0,0,bye,0,0,0,0,0,0,0,207,41.4
182,Chris Conley,WR,JAC,44,54,38,64,64,48,56,55,58,bye,60,64,50,57,50,48,54,864,54.0
183,Geoff Swaim,TE,JAC,29,34,21,40,43,31,0,0,0,bye,0,0,0,0,0,0,0,198,33.0
184,Michael Burton,RB,WAS,0,0,0,0,0,0,6,8,5,bye,13,2,7,9,6,10,3,69,6.9
185,Damiere Byrd,WR,ARI,77,53,72,0,0,15,52,43,0,0,0,bye,23,25,21,25,49,455,41.4
186,J.J. Nelson,WR,OAK,6,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,26.0
187,Matt LaCosse,TE,NE,0,41,0,11,72,15,0,0,0,bye,21,34,53,53,49,46,38,433,39.4
188,Tyrell Williams,WR,OAK,52,58,57,59,0,0,0,49,57,49,50,44,53,51,72,55,21,727,51.9
189,Raheem Mostert,RB,SF,20,32,24,bye,24,7,0,14,2,18,35,14,40,38,34,31,27,360,22.5
190,Eric Tomlinson,TE,Multi,2,4,1,0,0,0,38,31,0,0,0,0,0,0,19,19,6,120,15.0
191,Rod Smith,RB,Multi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2
192,Darius Jennings,WR,TEN,5,1,6,4,3,8,7,0,0,0,bye,0,0,0,0,0,16,50,6.3
193,Daniel Brown,TE,NYJ,2,5,9,bye,14,8,3,8,6,11,19,22,10,62,30,43,47,299,18.7
194,Adam Humphries,WR,TEN,20,33,54,25,32,40,31,27,46,32,bye,12,23,0,0,0,0,375,31.3
195,Ross Travis,TE,Multi,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,6,0,23,7.7
196,Beau Brinkley,TE,TEN,0,0,0,0,1,0,0,0,0,0,bye,0,0,0,0,0,0,1,0.1
197,Laquon Treadwell,WR,MIN,0,0,0,8,5,7,10,16,19,12,7,bye,16,17,11,1,42,171,13.2
198,Ezekiel Elliott,RB,DAL,37,53,48,56,66,75,55,bye,57,70,65,55,67,72,50,60,51,937,58.6
199,Jared Goff,QB,LAR,76,67,64,88,70,52,72,60,bye,74,54,52,72,68,74,70,82,1095,68.4
200,Josh Doctson,WR,MIN,0,0,0,0,0,0,0,0,0,0,7,bye,0,0,0,0,0,7,7.0
201,Derrick Henry,RB,TEN,36,30,37,47,36,36,46,39,38,36,bye,40,44,37,40,0,47,589,39.3
202,Carson Wentz,QB,PHI,74,74,74,62,61,60,60,73,84,bye,72,74,69,88,77,72,74,1148,71.8
203,Michael Thomas,WR,NO,59,62,49,68,63,65,72,66,bye,63,55,55,39,70,48,61,46,941,58.8
204,Tyler Boyd,WR,CIN,59,54,54,62,65,58,69,72,bye,64,58,57,54,55,57,83,57,978,61.1
205,Devontae Booker,RB,DEN,1,0,0,0,0,0,0,0,1,bye,5,3,0,2,5,4,5,26,1.6
206,Pharoh Cooper,WR,Multi,8,0,0,0,18,24,23,1,16,18,17,0,37,16,12,21,22,233,17.9
207,Hunter Henry,TE,LAC,58,0,0,0,0,41,58,39,55,61,60,bye,47,36,43,53,63,614,51.2
208,Sterling Shepard,WR,NYG,67,0,59,70,56,0,0,0,0,0,bye,57,56,48,53,70,66,602,60.2
209,Austin Hooper,TE,ATL,58,48,53,66,61,52,50,66,bye,55,0,0,0,44,55,52,64,724,55.7
210,Jordan Howard,RB,PHI,17,18,24,33,29,40,23,53,42,bye,0,0,0,0,0,0,1,280,28.0
211,Rashard Higgins,WR,CLE,31,0,0,0,0,0,bye,13,15,33,28,24,28,0,0,0,0,172,17.2
212,Tajae Sharpe,WR,TEN,29,31,39,38,18,28,23,22,32,40,bye,9,0,29,27,39,27,431,28.7
213,Dak Prescott,QB,DAL,65,69,72,58,71,82,69,bye,69,71,73,63,76,73,68,62,75,1116,69.8
214,Jonathan Williams,RB,IND,0,0,0,0,0,bye,0,0,0,7,29,45,16,0,1,0,1,99,11.0
215,C.J. Prosise,RB,SEA,0,10,45,14,0,17,6,0,0,0,bye,0,0,10,10,11,0,123,13.7
216,Jeff Driskel,QB,Multi,0,0,0,0,0,0,0,0,0,82,62,74,0,0,0,0,0,218,72.7
217,Tyler Higbee,TE,LAR,39,23,0,38,39,30,49,33,bye,25,41,36,72,66,63,62,79,695,46.3
218,Will Fuller,WR,HOU,62,58,57,66,69,78,3,0,0,bye,0,52,41,0,59,19,0,564,51.3
219,Kenyan Drake,RB,Multi,26,34,46,28,0,46,29,0,47,43,60,0,50,38,46,56,65,614,43.9
220,Jacoby Brissett,QB,IND,63,70,67,77,81,bye,73,64,15,0,64,67,70,63,56,61,56,947,63.1
221,Nick Vannett,TE,Multi,23,33,26,44,30,36,0,30,26,33,15,34,22,37,54,15,15,473,29.6
222,Chris Moore,WR,BAL,31,7,12,12,19,36,33,bye,2,0,0,0,0,0,0,1,6,159,11.4
223,Tyler Ervin,RB,Multi,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,7,17,28,2.8
224,Demarcus Robinson,WR,KC,43,68,62,62,56,48,49,38,24,55,38,bye,36,61,38,35,22,735,45.9
225,Seth DeValve,TE,JAC,8,10,12,21,21,24,47,44,34,bye,0,0,0,0,29,39,35,324,27.0
226,Wendell Smallwood,RB,WAS,0,14,1,3,10,10,16,12,18,bye,28,16,0,2,0,0,4,134,8.9
227,Jakeem Grant,WR,MIA,30,38,44,22,bye,0,7,14,14,15,30,3,0,0,0,0,0,217,21.7
228,Robby Anderson,WR,NYJ,68,63,50,bye,44,55,55,52,64,54,58,52,64,66,60,57,65,927,57.9
229,Cody Core,WR,NYG,0,14,4,7,0,17,1,3,4,4,bye,0,2,1,3,5,0,65,4.1
230,Alex Erickson,WR,CIN,11,15,7,4,15,47,66,49,bye,36,44,46,41,59,50,68,57,615,38.4
231,Brandon Allen,QB,DEN,0,0,0,0,0,0,0,0,48,bye,79,49,0,0,0,0,0,176,58.7
232,Andy Janovich,RB,DEN,0,0,0,9,19,22,13,28,25,bye,14,0,0,0,0,0,0,130,18.6
233,Derek Watt,RB,LAC,15,6,8,19,8,6,5,5,7,3,7,bye,4,17,5,5,2,122,7.6
234,Tyreek Hill,WR,KC,12,0,0,0,0,28,53,53,59,69,7,bye,52,70,57,59,44,563,46.9
235,Johnny Holton,WR,PIT,7,6,5,9,20,32,bye,26,22,21,42,16,17,17,13,7,6,266,16.6
236,DeAndre Washington,RB,OAK,5,15,9,13,13,0,14,9,7,6,9,12,15,39,11,40,54,271,16.9
237,Marcus Johnson,WR,IND,0,0,0,0,0,bye,0,0,0,55,61,42,65,56,45,46,42,412,51.5
