,Player,ROST%,Team,Pos
2,Gerald Everett,31%,SEA,TE
3,Kendrick Bourne,31%,NE,WR
4,Kenyan Drake,31%,LV,RB
5,Logan Thomas,30%,WAS,TE
6,Alex Collins,30%,SEA,RB
7,Cam Newton,30%,CAR,QB
8,Jimmy Garoppolo,30%,SF,QB
9,Ty Johnson,29%,NYJ,RB
10,Latavius Murray,29%,BAL,RB
11,Baker Mayfield,29%,CLE,QB
12,Corey Davis,29%,NYJ,WR
13,Nick Westbrook-Ikhine,29%,TEN,WR
14,Kadarius Toney,28%,NYG,WR
15,Trevor Lawrence,28%,JAX,QB
16,Cole Kmet,27%,CHI,TE
17,Tevin Coleman,27%,NYJ,RB
18,Robert Woods,27%,LAR,WR
19,Sterling Shepard,26%,NYG,WR
20,Marquez Callaway,25%,NO,WR
21,Teddy Bridgewater,25%,DEN,QB
22,Devontae Booker,24%,NYG,RB
23,Tim Patrick,23%,DEN,WR
24,Ben Roethlisberger,22%,PIT,QB
0,Boston Scott,22%,PHI,RB
1,Foster Moreau,21%,LV,TE
2,T.Y. Hilton,21%,IND,WR
3,Rondale Moore,21%,ARI,WR
4,Ronald Jones,21%,TB,RB
5,Khalil Herbert,21%,CHI,RB
6,Ricky Seals-Jones,20%,WAS,TE
7,Will Fuller,20%,MIA,WR
8,Rashaad Penny,20%,SEA,RB
9,Jonnu Smith,19%,NE,TE
10,Justin Fields,19%,CHI,QB
11,Nelson Agholor,18%,NE,WR
12,JaMycal Hasty,18%,SF,RB
13,Samaje Perine,18%,CIN,RB
14,Daniel Jones,18%,NYG,QB
15,Robert Tonyan,18%,GB,TE
16,Matt Breida,18%,BUF,RB
17,Michael Thomas,16%,NO,WR
18,Brandon Bolden,16%,NE,RB
19,Trey Sermon,16%,SF,RB
20,JuJu Smith-Schuster,15%,PIT,WR
21,Rex Burkhead,15%,HOU,RB
22,Jalen Guyton,15%,LAC,WR
23,C.J. Uzomah,14%,CIN,TE
24,DJ Chark,13%,JAX,WR
0,D'Ernest Johnson,13%,CLE,RB
1,Kenneth Gainwell,13%,PHI,RB
2,Curtis Samuel,12%,WAS,WR
3,Raheem Mostert,12%,SF,RB
4,Gus Edwards,12%,BAL,RB
5,Trey Lance,12%,SF,QB
6,Amon-Ra St.,12%,DET,WR
7,Deonte Harris,11%,NO,WR
8,Ameer Abdullah,11%,CAR,RB
9,Tre'Quan Smith,10%,NO,WR
10,Donovan Peoples-Jones,10%,CLE,WR
11,Ryan Fitzpatrick,10%,WAS,QB
12,Phillip Lindsay,10%,MIA,RB
13,Carlos Hyde,10%,JAX,RB
14,Bryan Edwards,10%,LV,WR
15,J.K. Dobbins,10%,BAL,RB
16,Sammy Watkins,9%,BAL,WR
17,Godwin Igwebuike,9%,DET,RB
18,Irv Smith,9%,MIN,TE
19,Jeremy McNichols,9%,TEN,RB
20,Josh Reynolds,8%,DET,WR
21,Giovani Bernard,8%,TB,RB
22,Jordan Howard,8%,PHI,RB
23,Dan Arnold,8%,JAX,TE
24,Randall Cobb,8%,GB,WR
