,Player,ROST%,Team,Pos
12,Marquez Callaway,27%,NO,WR
13,Ben Roethlisberger,27%,PIT,QB
14,Kenyan Drake,26%,LV,RB
15,Logan Thomas,26%,WAS,TE
16,Kendrick Bourne,26%,NE,WR
17,Trevor Lawrence,26%,JAX,QB
18,Robert Woods,26%,LAR,WR
19,Gabriel Davis,25%,BUF,WR
20,Jaret Patterson,25%,WAS,RB
21,Latavius Murray,25%,BAL,RB
22,Corey Davis,24%,NYJ,WR
23,Jordan Howard,24%,PHI,RB
24,Jamison Crowder,23%,NYJ,WR
0,Taylor Heinicke,23%,WAS,QB
1,Tyler Huntley,22%,BAL,QB
2,Foster Moreau,22%,LV,TE
3,Rondale Moore,22%,ARI,WR
4,Devontae Booker,22%,NYG,RB
5,Justin Fields,22%,CHI,QB
6,C.J. Uzomah,22%,CIN,TE
7,Kadarius Toney,21%,NYG,WR
8,Tim Patrick,20%,DEN,WR
9,Alex Collins,19%,SEA,RB
10,Sterling Shepard,19%,NYG,WR
11,Jonnu Smith,19%,NE,TE
12,Robert Tonyan,18%,GB,TE
13,Teddy Bridgewater,18%,DEN,QB
14,Cam Newton,18%,CAR,QB
15,Will Fuller,18%,MIA,WR
16,T.Y. Hilton,18%,IND,WR
17,D'Ernest Johnson,17%,CLE,RB
18,Tevin Coleman,17%,NYJ,RB
19,Ty Johnson,17%,NYJ,RB
20,Brandon Bolden,16%,NE,RB
21,Trey Sermon,16%,SF,RB
22,Michael Thomas,16%,NO,WR
23,Nelson Agholor,16%,NE,WR
24,Nick Westbrook-Ikhine,15%,TEN,WR
0,Deonte Harris,15%,NO,WR
1,Cam Akers,15%,LAR,RB
2,Daniel Jones,14%,NYG,QB
3,JuJu Smith-Schuster,14%,PIT,WR
4,Khalil Herbert,13%,CHI,RB
5,Ameer Abdullah,13%,CAR,RB
6,Donovan Peoples-Jones,13%,CLE,WR
7,DJ Chark,13%,JAX,WR
8,Samaje Perine,13%,CIN,RB
9,Craig Reynolds,13%,DET,RB
10,David Njoku,12%,CLE,TE
11,Ricky Seals-Jones,12%,WAS,TE
12,Gus Edwards,12%,BAL,RB
13,Raheem Mostert,12%,SF,RB
14,J.K. Dobbins,11%,BAL,RB
15,Kenneth Gainwell,11%,PHI,RB
16,Matt Breida,10%,BUF,RB
17,Ryan Fitzpatrick,10%,WAS,QB
18,Josh Reynolds,10%,DET,WR
19,Curtis Samuel,10%,WAS,WR
20,Jermar Jefferson,10%,DET,RB
21,Phillip Lindsay,9%,MIA,RB
22,Irv Smith,9%,MIN,TE
23,Travis Etienne,9%,JAX,RB
24,Bryan Edwards,9%,LV,WR
