,Player,ROST%,Team,Pos
17,Myles Gaskin,91%,Mia,RB
18,Chris Carson,91%,Sea,RB
19,Courtland Sutton,90%,Den,WR
20,Kareem Hunt,90%,Cle,RB
21,Tee Higgins,90%,Cin,WR
22,Joe Burrow,89%,Cin,QB
23,Odell Beckham,89%,LAR,WR
24,Jerry Jeudy,89%,Den,WR
0,Jaylen Waddle,89%,Mia,WR
1,Javonte Williams,88%,Den,RB
2,DeVonta Smith,88%,Phi,WR
3,Eli Mitchell,87%,SF,RB
4,Chase Claypool,87%,Pit,WR
5,Ryan Tannehill,87%,Ten,QB
6,Michael Carter,87%,NYJ,RB
7,Dallas Goedert,87%,Phi,TE
8,Derrick Henry,86%,Ten,RB
9,Darrel Williams,86%,KC,RB
10,Rob Gronkowski,85%,TB,TE
11,Dalton Schultz,84%,Dal,TE
12,Zack Moss,84%,Buf,RB
13,Calvin Ridley,83%,Atl,WR
14,Kirk Cousins,83%,Min,QB
15,Noah Fant,83%,Den,TE
16,Chase Edmonds,82%,Ari,RB
17,D'Ernest Johnson,81%,Cle,RB
18,Zach Ertz,81%,Ari,TE
19,Emmanuel Sanders,80%,Buf,WR
20,Derek Carr,79%,LV,QB
21,Brandon Aiyuk,78%,SF,WR
22,Cole Beasley,76%,Buf,WR
23,Devin Singletary,75%,Buf,RB
24,Julio Jones,75%,Ten,WR
0,Christian Kirk,75%,Ari,WR
1,Tony Pollard,75%,Dal,RB
2,Hunter Henry,74%,NE,TE
3,Miles Sanders,74%,Phi,RB
4,Dawson Knox,74%,Buf,TE
5,Marvin Jones,74%,Jax,WR
6,Jarvis Landry,74%,Cle,WR
7,Mark Ingram,74%,NO,RB
8,Hunter Renfrow,74%,LV,WR
9,Allen Robinson,73%,Chi,WR
10,Jakobi Meyers,72%,NE,WR
11,AJ Dillon,72%,GB,RB
12,Carson Wentz,71%,Ind,QB
13,Mike Davis,69%,Atl,RB
14,Kenyan Drake,69%,LV,RB
15,Tyler Boyd,68%,Cin,WR
16,Matt Ryan,67%,Atl,QB
17,Nyheim Hines,65%,Ind,RB
18,Corey Davis,65%,NYJ,WR
19,Adrian Peterson,61%,Sea,RB
20,Devontae Booker,60%,NYG,RB
21,Pat Freiermuth,60%,Pit,TE
22,Van Jefferson,58%,LAR,WR
23,Jared Cook,58%,LAC,TE
24,Alexander Mattison,58%,Min,RB
0,Devonta Freeman,58%,Bal,RB
1,J.D. McKissic,57%,Was,RB
2,Logan Thomas,54%,Was,TE
3,Michael Gallup,53%,Dal,WR
4,Kenny Golladay,52%,NYG,WR
5,Alex Collins,52%,Sea,RB
6,Jeremy McNichols,52%,Ten,RB
7,Elijah Moore,51%,NYJ,WR
8,A.J. Green,50%,Ari,WR
9,Chuba Hubbard,50%,Car,RB
10,Rashod Bateman,50%,Bal,WR
11,Jordan Howard,49%,Phi,RB
12,Robert Woods,49%,LAR,WR
13,Brandon Bolden,48%,NE,RB
14,Kadarius Toney,46%,NYG,WR
15,Darnell Mooney,45%,Chi,WR
16,Laviska Shenault,45%,Jax,WR
17,T.Y. Hilton,43%,Ind,WR
18,Mecole Hardman,43%,KC,WR
19,Jamaal Williams,41%,Det,RB
20,Baker Mayfield,39%,Cle,QB
21,Robby Anderson,39%,Car,WR
22,Trevor Lawrence,37%,Jax,QB
23,Khalil Herbert,36%,Chi,RB
24,Teddy Bridgewater,36%,Den,QB
0,Sterling Shepard,34%,NYG,WR
1,DeVante Parker,34%,Mia,WR
2,Marquez Callaway,34%,NO,WR
3,Sony Michel,33%,LAR,RB
4,Tim Patrick,33%,Den,WR
5,Rhamondre Stevenson,32%,NE,RB
6,Evan Engram,32%,NYG,TE
7,Boston Scott,32%,Phi,RB
8,Daniel Jones,30%,NYG,QB
9,Tyler Conklin,30%,Min,TE
10,Donovan Peoples-Jones,29%,Cle,WR
11,Kenneth Gainwell,29%,Phi,RB
12,Russell Gage,28%,Atl,WR
13,Mac Jones,28%,NE,QB
14,Latavius Murray,28%,Bal,RB
15,Rondale Moore,27%,Ari,WR
16,Dan Arnold,26%,Jax,TE
17,Justin Fields,25%,Chi,QB
18,Will Fuller,25%,Mia,WR
19,Jimmy Garoppolo,25%,SF,QB
20,Jonnu Smith,25%,NE,TE
21,Ben Roethlisberger,24%,Pit,QB
22,Austin Hooper,23%,Cle,TE
23,David Johnson,23%,Hou,RB
24,Tua Tagovailoa,23%,Mia,QB
0,Jamison Crowder,22%,NYJ,WR
1,Robert Tonyan,22%,GB,TE
2,Trey Sermon,21%,SF,RB
3,C.J. Uzomah,21%,Cin,TE
4,Nelson Agholor,21%,NE,WR
5,Jeff Wilson,20%,SF,RB
6,Gerald Everett,20%,Sea,TE
7,Carlos Hyde,20%,Jax,RB
8,Deonte Harris,19%,NO,WR
9,Ronald Jones,19%,TB,RB
10,Michael Thomas,19%,NO,WR
11,Ty Johnson,19%,NYJ,RB
12,Bryan Edwards,18%,LV,WR
13,Eno Benjamin,18%,Ari,RB
14,Cole Kmet,18%,Chi,TE
15,Trey Lance,17%,SF,QB
16,Taylor Heinicke,17%,Was,QB
17,JuJu Smith-Schuster,16%,Pit,WR
18,Cam Newton,16%,Car,QB
19,DJ Chark,15%,Jax,WR
20,Ricky Seals-Jones,15%,Was,TE
21,Randall Cobb,14%,GB,WR
22,Gus Edwards,13%,Bal,RB
23,Derrick Gore,13%,KC,RB
24,Raheem Mostert,13%,SF,RB
0,Le'Veon Bell,12%,Bal,RB
1,Ryan Fitzpatrick,12%,Was,QB
2,Giovani Bernard,11%,TB,RB
3,Sam Darnold,11%,Car,QB
4,DeSean Jackson,11%,LV,WR
5,Mike White,10%,NYJ,QB
6,Curtis Samuel,10%,Was,WR
7,Phillip Lindsay,10%,Mia,RB
8,Kalif Raymond,10%,Det,WR
9,Irv Smith,10%,Min,TE
10,J.K. Dobbins,10%,Bal,RB
11,Jamal Agnew,9%,Jax,WR
12,Tyler Johnson,9%,TB,WR
13,Marquez Valdes-Scantling,9%,GB,WR
14,Zach Pascal,9%,Ind,WR
15,Jameis Winston,9%,NO,QB
16,Taysom Hill,9%,NO,QB
17,Sammy Watkins,9%,Bal,WR
18,David Njoku,8%,Cle,TE
19,Mo Alie-Cox,8%,Ind,TE
20,Henry Ruggs,8%,LV,WR
21,Jalen Reagor,8%,Phi,WR
22,Rashaad Penny,8%,Sea,RB
23,Travis Etienne,7%,Jax,RB
24,Samaje Perine,7%,Cin,RB
