,Player,ROST%,Team,Pos
10,Tyler Boyd,87%,Cin,WR
11,Joe Burrow,87%,Cin,QB
12,DeVonta Smith,87%,Phi,WR
13,Dalton Schultz,86%,Dal,TE
14,Mike Gesicki,85%,Mia,TE
15,Darrel Williams,85%,KC,RB
16,Chuba Hubbard,84%,Car,RB
17,Michael Pittman,84%,Ind,WR
18,Michael Thomas,80%,NO,WR
19,Ryan Tannehill,80%,Ten,QB
20,Tony Pollard,79%,Dal,RB
21,Emmanuel Sanders,79%,Buf,WR
22,Corey Davis,79%,NYJ,WR
23,Devin Singletary,79%,Buf,RB
24,Marvin Jones,78%,Jax,WR
0,Jamaal Williams,76%,Det,RB
1,Jerry Jeudy,75%,Den,WR
2,Kirk Cousins,75%,Min,QB
3,Devontae Booker,74%,NYG,RB
4,Jakobi Meyers,73%,NE,WR
5,Dallas Goedert,73%,Phi,TE
6,Hunter Henry,73%,NE,TE
7,Kenny Golladay,72%,NYG,WR
8,Alexander Mattison,71%,Min,RB
9,Nyheim Hines,71%,Ind,RB
10,AJ Dillon,70%,GB,RB
11,Laviska Shenault,69%,Jax,WR
12,Damien Williams,67%,Chi,RB
13,Jaylen Waddle,66%,Mia,WR
14,Latavius Murray,66%,Bal,RB
15,Khalil Herbert,65%,Chi,RB
16,Eli Mitchell,64%,SF,RB
17,Kadarius Toney,63%,NYG,WR
18,Robby Anderson,63%,Car,WR
19,Cole Beasley,63%,Buf,WR
20,Jarvis Landry,63%,Cle,WR
21,Logan Thomas,61%,Was,TE
22,Brandon Aiyuk,60%,SF,WR
23,Zach Ertz,60%,Ari,TE
24,Alex Collins,59%,Sea,RB
0,Jared Cook,59%,LAC,TE
1,Baker Mayfield,58%,Cle,QB
2,Sam Darnold,56%,Car,QB
3,Matt Ryan,55%,Atl,QB
4,Robert Tonyan,55%,GB,TE
5,Kenyan Drake,53%,LV,RB
6,Henry Ruggs,53%,LV,WR
7,Sterling Shepard,52%,NYG,WR
8,Trey Sermon,52%,SF,RB
9,Michael Carter,52%,NYJ,RB
10,Derek Carr,52%,LV,QB
11,Trevor Lawrence,50%,Jax,QB
12,Sony Michel,50%,LAR,RB
13,Mecole Hardman,50%,KC,WR
14,Hunter Renfrow,47%,LV,WR
15,Darnell Mooney,44%,Chi,WR
16,A.J. Green,44%,Ari,WR
17,Christian Kirk,44%,Ari,WR
18,Rondale Moore,43%,Ari,WR
19,Michael Gallup,43%,Dal,WR
20,J.D. McKissic,42%,Was,RB
21,Jonnu Smith,40%,NE,TE
22,DeVante Parker,40%,Mia,WR
23,T.Y. Hilton,39%,Ind,WR
24,Jameis Winston,37%,NO,QB
0,Ronald Jones,37%,TB,RB
1,Tim Patrick,35%,Den,WR
2,Carson Wentz,35%,Ind,QB
3,Will Fuller,34%,Mia,WR
4,Marquez Callaway,34%,NO,WR
5,Evan Engram,33%,NYG,TE
6,Daniel Jones,33%,NYG,QB
7,Justin Fields,32%,Chi,QB
8,Mark Ingram,32%,NO,RB
9,Austin Hooper,32%,Cle,TE
10,Trey Lance,31%,SF,QB
11,Gerald Everett,31%,Sea,TE
12,Nelson Agholor,30%,NE,WR
13,Marlon Mack,30%,Ind,RB
14,Taylor Heinicke,29%,Was,QB
15,Ricky Seals-Jones,29%,Was,TE
16,JuJu Smith-Schuster,29%,Pit,WR
17,Kenneth Gainwell,28%,Phi,RB
18,David Johnson,28%,Hou,RB
19,Rashod Bateman,28%,Bal,WR
20,Jamison Crowder,27%,NYJ,WR
21,Josh Gordon,27%,KC,WR
22,Ben Roethlisberger,26%,Pit,QB
23,DJ Chark,23%,Jax,WR
24,Amon-Ra St.,23%,Det,WR
0,David Njoku,20%,Cle,TE
1,Curtis Samuel,20%,Was,WR
2,Teddy Bridgewater,20%,Den,QB
3,Giovani Bernard,19%,TB,RB
4,Cole Kmet,19%,Chi,TE
5,Jeff Wilson,19%,SF,RB
6,Jerick McKinnon,19%,KC,RB
7,Sammy Watkins,18%,Bal,WR
8,Cameron Brate,18%,TB,TE
9,Tua Tagovailoa,17%,Mia,QB
10,Raheem Mostert,17%,SF,RB
11,Mac Jones,17%,NE,QB
12,Elijah Moore,16%,NYJ,WR
13,Samaje Perine,16%,Cin,RB
14,Tyler Conklin,16%,Min,TE
15,Ty'Son Williams,16%,Bal,RB
16,Gus Edwards,16%,Bal,RB
17,Phillip Lindsay,16%,Mia,RB
18,Jalen Reagor,15%,Phi,WR
19,Ryan Fitzpatrick,15%,Was,QB
20,Brandon Bolden,12%,NE,RB
21,Irv Smith,12%,Min,TE
22,Randall Cobb,12%,GB,WR
23,Rhamondre Stevenson,11%,NE,RB
24,J.K. Dobbins,11%,Bal,RB
0,Jared Goff,11%,Det,QB
1,Bryan Edwards,11%,LV,WR
2,Zach Pascal,11%,Ind,WR
3,Van Jefferson,10%,LAR,WR
4,Tyrell Williams,10%,Det,WR
5,Deonte Harris,10%,NO,WR
6,James White,9%,NE,RB
7,Carlos Hyde,9%,Jax,RB
8,Dan Arnold,9%,Jax,TE
9,Tarik Cohen,9%,Chi,RB
10,Demetric Felton,9%,Cle,"WR,RB"
11,Terrace Marshall,8%,Car,WR
12,Blake Jarwin,8%,Dal,TE
13,Zach Wilson,8%,NYJ,QB
14,Travis Etienne,8%,Jax,RB
15,Juwan Johnson,8%,NO,"WR,TE"
16,K.J. Osborn,8%,Min,WR
17,Mo Alie-Cox,8%,Ind,TE
18,Rashaad Penny,7%,Sea,RB
19,Anthony Firkser,7%,Ten,TE
20,Deshaun Watson,7%,Hou,QB
21,Jimmy Garoppolo,7%,SF,QB
22,Geno Smith,7%,Sea,QB
23,Le'Veon Bell,7%,Bal,RB
24,Adam Trautman,6%,NO,TE
