,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
145,Alex Collins,RB,SEA,0,6,14,22,46,39,22,27,bye,30,18,19,0,14,0,0,0,0,257,23.4
146,Tyler Boyd,WR,CIN,51,48,37,36,55,45,45,44,59,bye,52,52,57,57,46,69,54,0,807,50.4
147,Devontae Booker,RB,NYG,24,10,0,7,60,54,59,56,41,bye,21,10,23,28,28,41,27,30,519,32.4
148,Pharoh Cooper,WR,NYG,0,0,0,0,0,0,0,0,2,bye,13,35,27,13,3,36,19,0,148,18.5
149,Hunter Henry,TE,NE,54,48,52,40,40,37,60,50,35,55,32,41,0,bye,55,55,39,42,735,45.9
150,Sterling Shepard,WR,NYG,58,64,24,0,0,68,0,23,0,bye,0,0,0,56,51,0,0,0,344,49.1
151,Austin Hooper,TE,CLE,38,42,49,56,52,44,46,38,35,37,48,54,bye,65,0,37,35,0,676,45.1
152,Jordan Howard,RB,PHI,0,0,0,0,0,0,0,16,23,24,13,0,0,bye,34,22,21,0,153,21.9
153,Rashard Higgins,WR,CLE,0,43,40,41,34,37,42,33,0,26,53,0,bye,0,44,44,41,0,478,39.8
154,Tajae Sharpe,WR,ATL,0,13,15,21,63,bye,14,36,47,31,37,46,54,52,33,0,0,38,500,35.7
155,Dak Prescott,QB,DAL,83,62,73,61,78,89,bye,0,62,62,67,74,70,85,71,61,64,51,1113,69.6
156,Jonathan Williams,RB,WAS,0,0,0,0,0,0,0,0,bye,0,0,0,0,10,2,24,8,11,55,11.0
157,Tyler Higbee,TE,LAR,52,59,49,54,56,66,65,46,76,54,bye,62,63,0,0,64,56,61,883,58.9
158,Will Fuller,WR,MIA,0,0,51,14,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,65,32.5
159,Kenyan Drake,RB,LV,41,47,36,20,12,12,26,bye,31,17,15,16,7,0,0,0,0,0,280,23.3
160,Jacoby Brissett,QB,MIA,2,65,83,52,54,1,0,0,74,37,0,0,0,bye,3,4,1,0,376,34.2
161,Nick Vannett,TE,NO,0,0,0,0,0,bye,0,0,0,0,18,21,42,51,35,41,0,20,228,32.6
162,Chris Moore,WR,HOU,0,0,2,0,37,49,0,15,16,bye,16,11,0,0,0,31,0,37,214,21.4
163,Demarcus Robinson,WR,KC,48,30,57,0,65,57,57,33,14,26,28,bye,31,0,49,46,39,41,621,41.4
164,Wendell Smallwood,RB,WAS,0,0,0,0,0,0,0,0,bye,0,0,0,5,0,0,0,16,0,21,10.5
165,Jakeem Grant,WR,Multi,7,7,2,0,2,2,0,6,1,0,8,19,48,29,10,0,6,0,147,10.5
166,Robby Anderson,WR,CAR,52,56,47,59,62,64,61,55,54,51,47,51,bye,62,76,67,60,54,978,57.5
167,Alex Erickson,WR,CAR,2,8,6,8,5,12,1,3,2,1,2,1,bye,0,0,3,0,5,59,3.5
168,Brandon Allen,QB,CIN,0,0,0,0,0,13,0,0,6,bye,0,10,0,0,0,0,2,54,85,17.0
169,Stephen Anderson,TE,LAC,20,15,0,23,15,12,bye,7,31,7,0,6,22,17,38,22,52,0,287,20.5
170,Andy Janovich,RB,CLE,11,11,0,5,0,0,0,0,4,0,0,0,bye,16,0,6,0,0,53,8.8
171,Derek Watt,RB,PIT,4,0,7,2,9,6,bye,0,7,6,0,2,6,5,0,0,5,0,59,5.4
172,Tyreek Hill,WR,KC,57,50,58,54,73,47,52,62,54,56,55,bye,50,44,60,29,52,14,867,51.0
173,Marcus Johnson,WR,TEN,0,0,0,0,48,20,29,48,3,38,14,0,bye,0,0,0,0,0,200,28.6
174,Dwayne Washington,RB,NO,0,0,0,5,0,bye,0,0,0,4,4,0,0,0,0,0,0,0,13,1.6
175,Geronimo Allison,WR,DET,0,0,0,0,0,0,32,0,bye,0,0,0,0,0,0,0,0,0,32,32.0
176,Mike Thomas,WR,CIN,16,0,10,18,0,0,0,0,10,bye,8,13,0,0,0,0,0,44,119,17.0
177,Peyton Barber,RB,LV,0,19,47,1,0,0,0,bye,0,0,1,0,5,7,13,12,11,0,116,12.9
178,J.P. Holtz,TE,CHI,0,0,0,11,0,0,0,6,0,bye,0,5,0,2,0,13,0,0,37,7.4
179,Chester Rogers,WR,TEN,39,38,28,66,31,15,0,31,19,21,56,15,bye,16,28,31,20,10,464,29.0
180,Kalif Raymond,WR,DET,69,36,47,53,46,56,56,49,bye,47,34,39,35,42,45,46,0,42,742,46.4
181,Marvin Hall,WR,ATL,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,5,0,0,5,5.0
182,Jaydon Mickens,WR,Multi,0,0,0,3,13,3,0,0,0,0,0,0,3,1,1,1,0,0,25,2.3
183,Jalen Richard,RB,LV,0,0,0,0,10,8,16,bye,5,6,0,0,0,0,11,10,13,24,103,11.4
184,C.J. Ham,RB,MIN,25,0,22,21,32,21,bye,26,21,27,23,20,25,0,25,20,9,13,330,22.0
185,J.D. McKissic,RB,WAS,20,31,25,27,34,36,46,32,bye,28,31,33,0,0,0,0,0,0,343,31.2
186,Garrett Griffin,TE,NO,0,0,0,17,17,bye,0,27,0,0,10,0,32,0,0,0,0,0,103,20.6
187,Tommylee Lewis,WR,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,bye,0,3,0,0,3,1.5
188,Elijhaa Penny,RB,NYG,3,3,8,0,6,15,22,7,16,bye,0,5,0,5,2,13,0,15,120,9.2
189,Dalvin Cook,RB,MIN,59,47,0,33,0,66,bye,47,43,65,53,29,0,54,57,0,29,26,608,46.8
190,Mike Williams,WR,LAC,61,54,48,64,58,20,bye,54,57,56,60,61,56,59,65,0,56,67,896,56.0
