,Player,FPTS,Team,Pos
67,Rashod Bateman,99.3,BAL,WR
68,Bryan Edwards,98.8,LV,WR
69,Zay Jones,98.2,LV,WR
70,Quez Watkins,96.6,PHI,WR
71,Randall Cobb,93.6,GB,WR
72,Zach Pascal,92.8,IND,WR
73,Michael Gallup,91.5,DAL,WR
74,Nick Westbrook-Ikhine,89.8,TEN,WR
75,Marquez Valdes-Scantling,87.0,GB,WR
76,Jalen Guyton,86.0,LAC,WR
77,DeAndre Carter,85.4,WAS,WR
78,Henry Ruggs,84.5,FA,WR
79,Kenny Golladay,83.9,NYG,WR
80,Kadarius Toney,82.4,NYG,WR
82,Allen Robinson,80.8,CHI,WR
83,Jerry Jeudy,80.0,DEN,WR
84,Josh Reynolds,78.5,DET,WR
85,Joshua Palmer,78.4,LAC,WR
87,Sterling Shepard,77.7,NYG,WR
89,Devin Duvernay,77.0,BAL,WR
90,Jamal Agnew,76.0,JAC,WR
91,DeSean Jackson,75.8,LV,WR
92,Nico Collins,73.9,HOU,WR
93,Jalen Reagor,73.2,PHI,WR
94,Calvin Ridley,71.1,ATL,WR
95,Laquon Treadwell,71.0,JAC,WR
96,Sammy Watkins,70.4,BAL,WR
97,Tre'Quan Smith,69.1,NO,WR
98,TY Hilton,68.2,IND,WR
99,James Washington,65.8,PIT,WR
100,Tyler Johnson,64.8,TB,WR
104,Julio Jones,63.6,TEN,WR
108,Darius Slayton,57.7,NYG,WR
115,Isaiah McKenzie,49.6,BUF,WR
119,Tajae Sharpe,48.0,ATL,WR
124,Cyril Grayson,44.6,TB,WR
128,Jakeem Grant,39.5,CHI,WR
132,JuJu Smith-Schuster,34.8,PIT,WR
134,DJ Chark,34.4,JAC,WR
136,Terrace Marshall,32.8,CAR,WR
138,Parris Campbell,32.2,IND,WR
147,Breshad Perriman,24.0,TB,WR
163,Josh Gordon,14.2,KC,WR
175,Curtis Samuel,9.8,WAS,WR
179,Will Fuller,8.6,MIA,WR
205,Tyrell Williams,3.4,FA,WR
234,Juwan Johnson,0.0,NO,WR
340,Cordarrelle Patterson,0.0,ATL,WR
361,Michael Thomas,0.0,NO,WR
383,John Brown,0.0,FA,WR
0,Mark Andrews,284.6,BAL,TE
1,Travis Kelce,249.4,KC,TE
2,George Kittle,192.0,SF,TE
3,Dalton Schultz,191.7,DAL,TE
4,Kyle Pitts,173.8,ATL,TE
5,Zach Ertz,165.3,ARI,TE
6,Dallas Goedert,165.0,PHI,TE
7,Mike Gesicki,160.8,MIA,TE
8,Noah Fant,156.4,DEN,TE
9,Dawson Knox,155.8,BUF,TE
10,Hunter Henry,150.7,NE,TE
11,Rob Gronkowski,150.5,TB,TE
12,TJ Hockenson,145.3,DET,TE
13,Pat Freiermuth,140.4,PIT,TE
14,Tyler Conklin,135.7,MIN,TE
15,Darren Waller,129.3,LV,TE
16,CJ Uzomah,128.3,CIN,TE
17,Tyler Higbee,123.5,LAR,TE
18,Jared Cook,120.4,LAC,TE
19,Gerald Everett,114.8,SEA,TE
20,Cole Kmet,112.4,CHI,TE
21,David Njoku,104.5,CLE,TE
22,Evan Engram,101.1,NYG,TE
23,Austin Hooper,92.5,CLE,TE
24,Foster Moreau,78.3,LV,TE
25,Jack Doyle,77.1,IND,TE
27,Dan Arnold,75.8,JAC,TE
28,Cameron Brate,75.3,TB,TE
29,Mo Alie-Cox,74.9,IND,TE
30,Ricky Seals-Jones,69.1,WAS,TE
32,Jonnu Smith,66.9,NE,TE
38,Anthony Firkser,57.5,TEN,TE
39,Brevin Jordan,55.8,HOU,TE
40,Adam Trautman,54.5,NO,TE
42,Logan Thomas,53.6,WAS,TE
43,Robert Tonyan,50.4,GB,TE
44,James O'Shaughnessy,50.4,JAC,TE
51,Juwan Johnson,45.4,NO,TE
59,OJ Howard,33.5,TB,TE
60,Eric Ebron,32.5,PIT,TE
61,Blake Jarwin,31.0,DAL,TE
89,Kendall Blanton,7.7,LAR,TE
151,Irv Smith,0.0,MIN,TE
0,Cowboys,180.0,DAL,DST
1,Patriots,160.0,NE,DST
2,Colts,137.0,IND,DST
3,Dolphins,135.0,MIA,DST
4,Bills,135.0,BUF,DST
5,Saints,135.0,NO,DST
6,Buccaneers,134.0,TB,DST
7,Chiefs,122.0,KC,DST
8,Titans,121.0,TEN,DST
9,Packers,120.0,GB,DST
10,Cardinals,119.0,ARI,DST
11,Broncos,118.0,DEN,DST
12,Rams,114.0,LAR,DST
13,Eagles,114.0,PHI,DST
14,49ers,109.0,SF,DST
15,Vikings,106.0,MIN,DST
16,Bears,102.0,CHI,DST
17,Steelers,98.0,PIT,DST
18,Bengals,97.0,CIN,DST
19,Browns,96.0,CLE,DST
20,Panthers,92.0,CAR,DST
21,Seahawks,88.0,SEA,DST
22,Texans,87.0,HOU,DST
23,Giants,82.0,NYG,DST
24,Ravens,81.0,BAL,DST
25,Chargers,79.0,LAC,DST
26,Team,73.0,WAS,DST
27,Falcons,65.0,ATL,DST
28,Raiders,59.0,LV,DST
29,Jets,58.0,NYJ,DST
30,Lions,49.0,DET,DST
31,Jaguars,48.0,JAC,DST
0,Nick Folk,164.0,NE,K
1,Evan McPherson,154.0,CIN,K
2,Justin Tucker,154.0,BAL,K
3,Daniel Carlson,153.0,LV,K
4,Matt Gay,152.0,LAR,K
5,Chris Boswell,151.0,PIT,K
6,Greg Joseph,149.0,MIN,K
7,Jake Elliott,141.0,PHI,K
8,Matt Prater,141.0,ARI,K
9,Dustin Hopkins,140.0,LAC,K
10,Tyler Bass,133.0,BUF,K
11,Harrison Butker,130.0,KC,K
12,Mason Crosby,130.0,GB,K
13,Greg Zuerlein,130.0,DAL,K
14,Randy Bullock,126.0,TEN,K
15,Ryan Succop,126.0,TB,K
16,Brandon McManus,123.0,DEN,K
17,Graham Gano,122.0,NYG,K
18,Younghoe Koo,114.0,ATL,K
19,Jason Sanders,105.0,MIA,K
20,Cairo Santos,104.0,CHI,K
21,Robbie Gould,102.0,SF,K
22,Michael Badgley,98.0,IND,K
23,Zane Gonzalez,98.0,CAR,K
24,Jason Myers,96.0,SEA,K
25,Chase McLaughlin,90.0,CLE,K
26,Joey Slye,89.0,WAS,K
32,Rodrigo Blankenship,45.0,IND,K
33,Brian Johnson,42.0,WAS,K
37,Aldrick Rosas,22.0,DET,K
40,Elliott Fry,13.0,CIN,K
43,Josh Lambo,5.0,FA,K
48,Michael Palardy,0.0,MIA,K
52,Wil Lutz,0.0,NO,K
73,Kai Forbath,0.0,LAR,K
