,Player,ROST%,Team,Pos
20,Ty Johnson,13%,NYJ,RB
21,Donovan Peoples-Jones,13%,Cle,WR
22,Gus Edwards,13%,Bal,RB
23,Ryan Fitzpatrick,13%,Was,QB
24,Jordan Howard,12%,Phi,RB
0,Mo Alie-Cox,12%,Ind,TE
1,Jameis Winston,12%,NO,QB
2,Phillip Lindsay,12%,Mia,RB
3,Samaje Perine,11%,Cin,RB
4,Mike White,11%,NYJ,QB
5,Damien Williams,11%,Chi,RB
6,Henry Ruggs,11%,LV,WR
7,Curtis Samuel,11%,Was,WR
8,Rashaad Penny,10%,Sea,RB
9,Irv Smith,10%,Min,TE
10,Brandon Bolden,10%,NE,RB
11,J.K. Dobbins,10%,Bal,RB
12,Sammy Watkins,10%,Bal,WR
13,Jamal Agnew,10%,Jax,WR
14,Giovani Bernard,10%,TB,RB
15,Taylor Heinicke,9%,Was,QB
16,Jalen Reagor,9%,Phi,WR
17,Marquez Valdes-Scantling,9%,GB,WR
18,Kendrick Bourne,8%,NE,WR
19,David Njoku,8%,Cle,TE
20,Travis Etienne,7%,Jax,RB
21,Kalif Raymond,7%,Det,WR
22,Amon-Ra St.,7%,Det,WR
23,K.J. Osborn,7%,Min,WR
24,Darius Slayton,7%,NYG,WR
