,Player,ROST%,Team,Pos
2,Rashaad Penny,16%,Sea,RB
3,Randall Cobb,15%,GB,WR
4,Blake Jarwin,15%,Dal,TE
5,Carson Wentz,15%,Ind,QB
6,Justin Jackson,15%,LAC,RB
7,Sam Darnold,15%,Car,QB
8,J.K. Dobbins,14%,Bal,RB
9,Darrel Williams,14%,KC,RB
10,Rashod Bateman,14%,Bal,WR
11,Deshaun Watson,14%,Hou,QB
12,Anthony Firkser,13%,Ten,TE
13,Christian Kirk,13%,Ari,WR
14,Parris Campbell,12%,Ind,WR
15,Marquez Valdes-Scantling,12%,GB,WR
16,Sammy Watkins,12%,Bal,WR
17,Ty Johnson,11%,NYJ,RB
18,Malcolm Brown,11%,Mia,RB
19,Boston Scott,11%,Phi,RB
20,Teddy Bridgewater,11%,Den,QB
21,Adam Trautman,11%,NO,TE
22,Devonta Freeman,10%,Bal,RB
23,Tarik Cohen,10%,Chi,RB
24,Travis Etienne,10%,Jax,RB
0,Juwan Johnson,10%,NO,"WR,TE"
1,Jimmy Garoppolo,9%,SF,QB
2,Marlon Mack,9%,Ind,RB
3,Pat Freiermuth,9%,Pit,TE
4,Eric Ebron,9%,Pit,TE
5,Devontae Booker,8%,NYG,RB
6,Kenneth Gainwell,8%,Phi,RB
7,Eli Mitchell,8%,SF,RB
8,Gabriel Davis,8%,Buf,WR
9,Amon-Ra St.,7%,Det,WR
10,Jared Goff,7%,Det,QB
11,Dawson Knox,6%,Buf,TE
12,Dan Arnold,5%,Jax,TE
13,Cam Akers,5%,LAR,RB
14,Tyler Conklin,5%,Min,TE
15,Damien Williams,5%,Chi,RB
16,Tyrod Taylor,4%,Hou,QB
17,Tre'Quan Smith,4%,NO,WR
18,Darrynton Evans,4%,Ten,RB
19,Deonte Harris,4%,NO,WR
20,Wayne Gallman,4%,Atl,RB
21,Cordarrelle Patterson,3%,Atl,"WR,RB"
22,Darius Slayton,3%,NYG,WR
23,Todd Gurley,3%,Atl,RB
24,John Brown,3%,Jax,WR
