,Player,ROST%,Team,Pos
6,Trevor Lawrence,50%,Jax,QB
7,Christian Kirk,50%,Ari,WR
8,Sony Michel,50%,LAR,RB
9,Trey Lance,47%,SF,QB
10,Ronald Jones,47%,TB,RB
11,Michael Gallup,46%,Dal,WR
12,Hunter Henry,46%,NE,TE
13,J.D. McKissic,45%,Was,RB
14,Jonnu Smith,45%,NE,TE
15,Darnell Mooney,45%,Chi,WR
16,Hunter Renfrow,45%,LV,WR
17,Mecole Hardman,43%,KC,WR
18,DeVante Parker,41%,Mia,WR
19,Daniel Jones,41%,NYG,QB
20,Will Fuller,41%,Mia,WR
21,Kenneth Gainwell,41%,Phi,RB
22,Rondale Moore,40%,Ari,WR
23,Jamison Crowder,39%,NYJ,WR
24,Josh Gordon,39%,KC,WR
0,Austin Hooper,38%,Cle,TE
1,Zach Ertz,37%,Ari,TE
2,Justin Fields,37%,Chi,QB
3,Alex Collins,37%,Sea,RB
4,Gerald Everett,36%,Sea,TE
5,Jameis Winston,34%,NO,QB
6,Nelson Agholor,33%,NE,WR
7,Cameron Brate,32%,TB,TE
8,Evan Engram,31%,NYG,TE
9,Mark Ingram,31%,NO,RB
10,Tim Patrick,31%,Den,WR
11,Curtis Samuel,31%,Was,WR
12,Marquez Callaway,30%,NO,WR
13,David Johnson,29%,Hou,RB
14,DJ Chark,28%,Jax,WR
15,Samaje Perine,27%,Cin,RB
16,Ty'Son Williams,26%,Bal,RB
17,Sammy Watkins,25%,Bal,WR
18,Rashod Bateman,24%,Bal,WR
19,Cole Kmet,23%,Chi,TE
20,Ben Roethlisberger,23%,Pit,QB
21,Tyler Conklin,22%,Min,TE
22,T.Y. Hilton,21%,Ind,WR
23,Phillip Lindsay,20%,Mia,RB
24,Jeff Wilson,20%,SF,RB
0,Elijah Moore,20%,NYJ,WR
1,Raheem Mostert,19%,SF,RB
2,Khalil Herbert,19%,Chi,RB
3,Mac Jones,18%,NE,QB
4,Teddy Bridgewater,18%,Den,QB
5,Kadarius Toney,17%,NYG,WR
6,Gus Edwards,17%,Bal,RB
7,Jalen Reagor,17%,Phi,WR
8,Ryan Fitzpatrick,16%,Was,QB
9,Taylor Heinicke,16%,Was,QB
10,Giovani Bernard,16%,TB,RB
11,Randall Cobb,16%,GB,WR
12,Zach Pascal,15%,Ind,WR
13,Tua Tagovailoa,15%,Mia,QB
14,Darrel Williams,15%,KC,RB
15,Quintez Cephus,14%,Det,WR
16,Carson Wentz,13%,Ind,QB
17,Bryan Edwards,13%,LV,WR
18,Irv Smith,13%,Min,TE
19,K.J. Osborn,12%,Min,WR
20,Tyrell Williams,12%,Det,WR
21,Le'Veon Bell,12%,Bal,RB
22,James White,12%,NE,RB
23,Jared Goff,12%,Det,QB
24,J.K. Dobbins,11%,Bal,RB
0,Juwan Johnson,11%,NO,"WR,TE"
1,Terrace Marshall,10%,Car,WR
2,Van Jefferson,10%,LAR,WR
3,Deonte Harris,10%,NO,WR
4,Tarik Cohen,10%,Chi,RB
5,Zach Wilson,9%,NYJ,QB
6,Blake Jarwin,9%,Dal,TE
7,Marlon Mack,9%,Ind,RB
8,Peyton Barber,9%,LV,RB
9,Deshaun Watson,9%,Hou,QB
10,Brandon Bolden,9%,NE,RB
11,Carlos Hyde,9%,Jax,RB
12,Maxx Williams,9%,Ari,TE
13,Travis Etienne,8%,Jax,RB
14,Jimmy Garoppolo,8%,SF,QB
15,C.J. Uzomah,8%,Cin,TE
16,Rhamondre Stevenson,7%,NE,RB
17,Darius Slayton,7%,NYG,WR
18,Russell Gage,7%,Atl,WR
19,Marquez Valdes-Scantling,7%,GB,WR
20,Anthony Firkser,7%,Ten,TE
21,Devontae Booker,6%,NYG,RB
22,Pat Freiermuth,6%,Pit,TE
23,Tevin Coleman,6%,NYJ,RB
24,Tony Jones,6%,NO,RB
