,Player,ROST%,Team,Pos
10,Matthew Stafford,96%,LAR,QB
11,Jalen Hurts,96%,Phi,QB
12,Damien Harris,95%,NE,RB
13,Tee Higgins,95%,Cin,WR
14,Diontae Johnson,95%,Pit,WR
15,Deebo Samuel,95%,SF,WR
16,Ja'Marr Chase,94%,Cin,WR
17,Noah Fant,94%,Den,TE
18,Mike Davis,94%,Atl,RB
19,Tyler Higbee,94%,LAR,TE
20,Chase Edmonds,94%,Ari,RB
21,Myles Gaskin,93%,Mia,RB
22,Antonio Brown,93%,TB,WR
23,Melvin Gordon,93%,Den,RB
24,Chase Claypool,93%,Pit,WR
0,Odell Beckham,93%,LAR,WR
1,Robert Tonyan,92%,GB,TE
2,JuJu Smith-Schuster,92%,Pit,WR
3,Brandin Cooks,92%,Hou,WR
4,Mike Williams,91%,LAC,WR
5,Courtland Sutton,91%,Den,WR
6,Leonard Fournette,90%,TB,RB
7,Dallas Goedert,89%,Phi,TE
8,Javonte Williams,89%,Den,RB
9,DeVonta Smith,88%,Phi,WR
10,Devin Singletary,86%,Buf,RB
11,Robby Anderson,86%,Car,WR
12,Ryan Tannehill,85%,Ten,QB
13,Corey Davis,85%,NYJ,WR
14,Ty'Son Williams,85%,Bal,RB
15,Tyler Boyd,85%,Cin,WR
16,Trey Sermon,84%,SF,RB
17,Kenny Golladay,83%,NYG,WR
18,Marquise Brown,82%,Bal,WR
19,Brandon Aiyuk,81%,SF,WR
20,Kenyan Drake,81%,LV,RB
21,Jamaal Williams,80%,Det,RB
22,Marvin Jones,79%,Jax,WR
23,Tony Pollard,78%,Dal,RB
24,Sterling Shepard,78%,NYG,WR
0,Michael Thomas,77%,NO,WR
1,Joe Burrow,76%,Cin,QB
2,Jerry Jeudy,76%,Den,WR
3,Eli Mitchell,75%,SF,RB
4,James Conner,75%,Ari,RB
5,DJ Chark,75%,Jax,WR
6,Michael Pittman,74%,Ind,WR
7,Nyheim Hines,72%,Ind,RB
8,Kirk Cousins,72%,Min,QB
9,Ronald Jones,70%,TB,RB
10,AJ Dillon,70%,GB,RB
11,Rondale Moore,69%,Ari,WR
12,Alexander Mattison,68%,Min,RB
13,Jarvis Landry,68%,Cle,WR
14,Baker Mayfield,67%,Cle,QB
15,Will Fuller,66%,Mia,WR
16,Cordarrelle Patterson,66%,Atl,"WR,RB"
17,Sony Michel,65%,LAR,RB
18,Jaylen Waddle,65%,Mia,WR
19,Laviska Shenault,64%,Jax,WR
20,Jonnu Smith,61%,NE,TE
21,Trevor Lawrence,61%,Jax,QB
22,Jakobi Meyers,58%,NE,WR
23,Latavius Murray,58%,Bal,RB
24,James White,58%,NE,RB
0,Matt Ryan,57%,Atl,QB
1,Justin Fields,57%,Chi,QB
2,Michael Carter,56%,NYJ,RB
3,Mike Gesicki,56%,Mia,TE
4,Gerald Everett,55%,Sea,TE
5,Zack Moss,54%,Buf,RB
6,Cole Beasley,53%,Buf,WR
7,Derek Carr,53%,LV,QB
8,Christian Kirk,51%,Ari,WR
9,Mecole Hardman,51%,KC,WR
10,Mark Ingram,50%,NO,RB
11,Jared Cook,50%,LAC,TE
12,Henry Ruggs,50%,LV,WR
13,Michael Gallup,49%,Dal,WR
14,Austin Hooper,49%,Cle,TE
15,Hunter Henry,46%,NE,TE
16,Jameis Winston,46%,NO,QB
17,Daniel Jones,45%,NYG,QB
18,Darnell Mooney,45%,Chi,WR
19,Nelson Agholor,44%,NE,WR
20,David Johnson,42%,Hou,RB
21,Evan Engram,40%,NYG,TE
22,J.D. McKissic,39%,Was,RB
23,DeVante Parker,39%,Mia,WR
24,Marquez Callaway,37%,NO,WR
0,Kenneth Gainwell,35%,Phi,RB
1,Cole Kmet,34%,Chi,TE
2,Trey Lance,34%,SF,QB
3,Curtis Samuel,34%,Was,WR
4,Phillip Lindsay,33%,Mia,RB
5,Ben Roethlisberger,31%,Pit,QB
6,Quintez Cephus,29%,Det,WR
7,K.J. Osborn,29%,Min,WR
8,Teddy Bridgewater,28%,Den,QB
9,Elijah Moore,28%,NYJ,WR
10,Zach Pascal,26%,Ind,WR
11,Emmanuel Sanders,26%,Buf,WR
12,Chuba Hubbard,25%,Car,RB
13,Zach Ertz,24%,Ari,TE
14,Jalen Reagor,24%,Phi,WR
15,Raheem Mostert,23%,SF,RB
16,Sammy Watkins,23%,Bal,WR
17,Juwan Johnson,23%,NO,"WR,TE"
18,Tim Patrick,22%,Den,WR
19,Sam Darnold,21%,Car,QB
20,Mac Jones,20%,NE,QB
21,Gus Edwards,20%,Bal,RB
22,T.Y. Hilton,19%,Ind,WR
23,Jeff Wilson,19%,SF,RB
24,Ryan Fitzpatrick,19%,Was,QB
0,Tua Tagovailoa,19%,Mia,QB
1,Jamison Crowder,19%,NYJ,WR
2,Tony Jones,18%,NO,RB
3,Bryan Edwards,17%,LV,WR
4,Tyrell Williams,17%,Det,WR
5,Giovani Bernard,16%,TB,RB
6,Jared Goff,16%,Det,QB
7,Darius Slayton,16%,NYG,WR
8,A.J. Green,15%,Ari,WR
9,Irv Smith,15%,Min,TE
10,Le'Veon Bell,15%,Bal,RB
11,Rashod Bateman,14%,Bal,WR
12,Terrace Marshall,14%,Car,WR
13,Carlos Hyde,14%,Jax,RB
14,Carson Wentz,13%,Ind,QB
15,J.K. Dobbins,12%,Bal,RB
16,Russell Gage,12%,Atl,WR
17,Hunter Renfrow,11%,LV,WR
18,Blake Jarwin,11%,Dal,TE
19,Jimmy Garoppolo,11%,SF,QB
20,Tevin Coleman,11%,NYJ,RB
21,Zach Wilson,11%,NYJ,QB
22,Ty Johnson,10%,NYJ,RB
23,Deonte Harris,10%,NO,WR
24,Rhamondre Stevenson,10%,NE,RB
0,Darrel Williams,10%,KC,RB
1,Marquez Valdes-Scantling,10%,GB,WR
2,Travis Etienne,9%,Jax,RB
3,Tarik Cohen,9%,Chi,RB
4,Jacques Patrick,9%,Car,RB
5,Rashaad Penny,9%,Sea,RB
6,Dawson Knox,9%,Buf,TE
7,Deshaun Watson,9%,Hou,QB
8,Larry Rountree,8%,LAC,RB
9,Anthony Firkser,8%,Ten,TE
10,Adam Trautman,8%,NO,TE
11,Pat Freiermuth,8%,Pit,TE
12,Randall Cobb,8%,GB,WR
13,David Njoku,7%,Cle,TE
14,Malcolm Brown,7%,Mia,RB
15,Peyton Barber,7%,LV,RB
16,Damien Williams,6%,Chi,RB
17,Taylor Heinicke,6%,Was,QB
18,Gabriel Davis,6%,Buf,WR
19,Demetric Felton,6%,Cle,"WR,RB"
20,Van Jefferson,6%,LAR,WR
21,Devonta Freeman,5%,Bal,RB
22,Cam Akers,5%,LAR,RB
23,Marlon Mack,5%,Ind,RB
24,Eric Ebron,5%,Pit,TE
