,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
33,Antonio Brown,WR,TB,0,0,0,0,0,0,0,0,39,39,43,43,bye,25,32,46,56,323,40.4
34,A.J. Green,WR,CIN,45,57,55,53,28,58,64,62,bye,54,54,40,45,63,51,56,34,819,51.2
35,Blaine Gabbert,QB,TB,0,0,0,0,0,9,0,0,1,5,0,0,bye,0,0,34,0,49,12.3
36,Julio Jones,WR,ATL,65,59,0,15,0,66,58,58,63,bye,22,0,63,0,0,0,0,469,52.1
37,Cam Newton,QB,NE,64,72,69,0,bye,57,32,65,81,58,69,53,58,45,55,33,65,876,58.4
38,Mark Ingram,RB,BAL,21,27,18,14,19,10,bye,0,0,17,6,0,11,1,0,0,17,161,14.6
39,Randall Cobb,WR,HOU,46,40,34,48,35,44,49,bye,37,32,5,0,0,0,0,0,0,370,37.0
40,Kyle Rudolph,TE,MIN,32,38,48,48,64,38,bye,39,42,58,46,57,64,0,0,0,0,574,47.8
41,Andy Dalton,QB,DAL,0,2,0,0,22,86,45,0,0,bye,66,59,79,51,58,70,83,621,56.5
42,Luke Stocker,TE,ATL,26,29,32,33,23,31,34,34,37,bye,16,34,24,33,32,40,44,502,31.4
43,Taiwan Jones,RB,BUF,0,0,0,1,1,0,0,0,0,0,bye,0,0,0,1,1,0,4,0.3
44,Anthony Sherman,RB,KC,11,7,10,0,2,0,0,0,0,bye,2,3,2,5,10,4,4,60,5.0
45,Dion Lewis,RB,NYG,6,57,20,21,20,9,15,21,17,14,bye,22,12,16,18,24,12,304,19.0
46,Lee Smith,TE,BUF,0,0,1,0,0,2,0,8,0,12,bye,17,25,29,30,24,23,171,17.1
47,Tyrod Taylor,QB,LAC,74,0,0,0,0,bye,0,0,1,0,0,0,0,0,0,0,0,75,37.5
48,Virgil Green,TE,LAC,24,35,12,25,25,bye,20,0,0,0,0,0,0,0,0,0,0,141,23.5
49,Bruce Miller,TE,JAC,12,14,2,5,9,4,10,bye,0,0,0,0,0,0,0,6,0,62,7.8
50,Robert Griffin,QB,BAL,6,0,0,10,1,0,bye,0,0,0,0,44,0,0,0,0,0,61,15.3
51,Ryan Tannehill,QB,TEN,81,62,75,bye,66,75,57,62,55,59,70,69,73,60,65,52,71,1052,65.8
52,Nick Foles,QB,CHI,0,0,43,62,63,66,0,69,77,45,bye,0,0,0,0,8,0,433,54.1
53,Kirk Cousins,QB,MIN,52,54,65,66,87,56,bye,52,58,73,64,73,91,79,68,64,80,1082,67.6
54,Russell Wilson,QB,SEA,62,63,76,63,54,bye,84,68,65,67,66,67,72,55,57,63,65,1047,65.4
55,Lamar Miller,RB,CHI,0,0,0,0,0,0,0,0,0,5,bye,0,0,0,0,0,0,5,5.0
56,Alshon Jeffery,WR,PHI,0,0,0,0,0,0,0,0,bye,18,5,35,35,31,52,26,0,202,28.9
57,Mohamed Sanu,WR,Multi,0,13,20,7,0,0,0,0,0,0,15,39,40,40,42,38,27,281,28.1
58,T.Y. Hilton,WR,IND,59,42,31,54,53,59,bye,28,0,47,51,54,43,41,35,47,44,688,45.9
59,Marvin Jones,WR,DET,71,53,60,54,bye,40,55,60,71,51,50,68,64,59,58,50,53,917,57.3
60,Alfred Morris,RB,NYG,0,0,0,0,0,0,0,21,16,15,bye,8,11,6,13,8,13,111,12.3
61,Derek Carrier,TE,LV,0,0,1,0,0,bye,0,1,0,0,1,1,0,0,2,0,1,7,0.4
62,Case Keenum,QB,CLE,0,0,0,0,0,15,0,0,bye,0,0,0,0,0,0,0,0,15,7.5
63,Cole Beasley,WR,BUF,56,41,38,19,44,34,60,36,46,58,bye,53,55,61,45,35,0,681,45.4
64,Chris Hogan,WR,NYJ,51,59,51,67,45,0,0,0,0,bye,0,0,0,0,0,0,0,273,54.6
65,Travis Kelce,TE,KC,61,74,61,0,65,65,40,50,57,bye,69,68,57,56,78,56,0,857,61.2
66,DeAndre Hopkins,WR,ARI,77,75,61,54,65,48,79,bye,67,70,61,71,64,62,65,75,48,1042,65.1
67,Robert Woods,WR,LAR,61,59,67,54,59,57,0,88,bye,56,68,62,61,49,53,68,72,934,62.3
68,Kenny Stills,WR,HOU,22,28,8,27,17,15,22,bye,15,8,4,0,0,0,0,0,0,166,16.6
69,Cordarrelle Patterson,RB,CHI,10,14,11,11,15,12,0,10,17,25,bye,9,17,19,6,0,12,188,12.5
70,Keenan Allen,WR,LAC,70,81,75,50,12,bye,69,85,78,55,78,78,62,57,24,0,0,874,62.4
71,Tavon Austin,WR,GB,0,0,0,0,bye,0,0,0,0,0,0,0,0,4,4,17,5,30,7.5
72,Giovani Bernard,RB,CIN,20,42,18,13,16,35,58,47,bye,44,37,38,35,17,38,44,16,518,32.4
73,Le'Veon Bell,RB,Multi,32,0,0,0,46,0,17,17,19,0,20,24,33,11,31,20,0,270,24.5
74,Theo Riddick,RB,LV,0,0,0,7,0,bye,0,0,0,0,0,0,13,0,14,0,14,48,12.0
75,Chris Thompson,RB,JAC,13,31,30,16,30,15,0,bye,19,1,0,0,0,0,0,0,0,155,19.4
76,Rex Burkhead,RB,NE,19,51,32,0,bye,18,25,32,34,20,12,0,0,0,0,0,0,243,27.0
77,Kenjon Barner,RB,TB,0,0,0,4,0,0,0,0,0,0,0,0,bye,0,1,1,0,6,1.0
78,Tyler Bray,QB,CHI,0,0,0,0,0,0,0,0,0,5,bye,0,0,0,0,0,0,5,5.0
79,Mike Glennon,QB,JAC,0,0,0,0,0,0,0,bye,0,0,0,65,71,32,0,55,65,288,57.6
80,Matt Barkley,QB,BUF,0,0,0,0,7,0,0,0,0,0,bye,1,0,0,1,15,29,53,10.6
81,Geno Smith,QB,SEA,0,0,0,0,0,bye,0,0,0,0,0,0,0,18,0,0,0,18,18.0
82,Zach Ertz,TE,PHI,59,67,84,59,56,48,0,0,bye,0,0,0,27,50,63,62,61,636,57.8
83,Jordan Reed,TE,SF,10,28,18,0,0,0,0,0,13,31,bye,31,31,33,42,10,0,247,24.7
84,Tyler Eifert,TE,JAC,29,45,40,46,46,5,0,bye,38,40,24,39,51,45,37,28,36,549,36.6
85,Levine Toilolo,TE,NYG,24,11,4,11,16,9,9,21,25,21,bye,39,32,10,18,6,19,275,17.2
86,Vance McDonald,TE,PIT,38,36,41,bye,43,40,35,22,20,0,0,28,28,19,60,16,59,485,34.6
87,Kyle Juszczyk,RB,SF,36,29,38,22,22,22,37,27,23,23,bye,31,14,44,39,30,35,472,29.5
88,Luke Willson,TE,Multi,1,0,0,6,0,0,0,3,0,0,11,37,27,0,0,0,0,85,10.6
89,Latavius Murray,RB,NO,23,16,21,29,21,bye,23,18,29,24,33,30,32,20,16,29,0,364,24.3
90,Ryan Griffin,TE,NYJ,18,27,18,21,42,26,27,16,22,bye,27,30,42,22,27,0,26,391,26.1
91,Demetrius Harris,TE,CHI,26,36,34,23,28,24,0,5,6,3,bye,1,6,3,1,0,1,197,14.1
92,Jack Doyle,TE,IND,57,0,32,45,34,39,bye,45,22,0,45,22,38,42,42,38,43,544,38.9
93,Teddy Bridgewater,QB,CAR,67,73,51,76,65,68,46,48,83,43,0,65,bye,67,69,67,39,927,61.8
94,AJ McCarron,QB,HOU,0,0,0,0,0,0,0,bye,0,0,0,0,0,1,0,0,0,1,0.5
95,Derek Carr,QB,LV,63,80,59,74,70,bye,65,72,51,72,59,52,78,68,11,64,69,1007,62.9
96,Logan Thomas,TE,WAS,53,60,55,66,47,63,54,bye,54,87,56,67,72,62,80,71,63,1010,63.1
97,Carlos Hyde,RB,SEA,22,15,16,0,0,bye,41,0,0,0,46,41,18,32,10,20,0,261,26.1
98,Devonta Freeman,RB,NYG,0,0,15,37,37,35,12,0,0,0,bye,0,0,0,0,0,0,136,27.2
99,Sammy Watkins,WR,KC,55,45,65,0,26,0,0,0,0,bye,0,57,48,54,80,51,0,481,53.4
100,Mike Evans,WR,TB,65,53,61,54,60,50,62,63,43,64,61,53,bye,39,55,62,11,856,53.5
101,Brandin Cooks,WR,HOU,31,53,41,61,48,62,55,bye,59,55,57,49,53,0,68,50,60,802,53.5
102,Davante Adams,WR,GB,69,38,0,0,bye,52,57,70,50,53,57,63,54,62,60,47,41,773,55.2
103,Jordan Matthews,WR,SF,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,14,14,7.0
104,Donte Moncrief,WR,NE,0,0,0,0,bye,0,0,0,0,0,4,1,15,5,0,0,0,25,4.2
105,Allen Robinson,WR,CHI,53,53,64,55,55,58,0,68,73,45,bye,64,51,45,57,49,71,861,57.4
106,Odell Beckham,WR,CLE,56,39,51,58,63,48,2,0,bye,0,0,0,0,0,0,0,0,317,45.3
107,Jarvis Landry,WR,CLE,52,35,45,57,56,44,40,38,bye,38,38,41,48,76,45,0,46,699,46.6
108,Eric Ebron,TE,PIT,40,50,60,bye,58,46,66,46,59,62,70,49,57,38,10,55,0,766,51.1
109,Trey Burton,TE,IND,0,0,0,36,25,35,bye,39,29,37,24,27,25,25,19,34,20,375,28.8
110,James White,RB,NE,20,0,0,0,bye,31,10,31,21,10,39,20,19,27,27,16,20,291,22.4
111,Jimmy Garoppolo,QB,SF,62,32,0,0,31,73,66,41,0,0,bye,0,0,0,0,0,0,305,50.8
112,Jerick McKinnon,RB,SF,19,13,48,67,16,23,12,35,42,44,bye,18,2,0,14,10,9,372,23.3
113,John Brown,WR,BUF,81,56,29,53,0,51,0,47,53,54,bye,0,0,0,0,0,30,454,50.4
114,Richard Rodgers,TE,PHI,2,0,33,22,19,43,67,16,bye,21,22,22,3,1,0,0,0,271,19.4
115,Garrett Gilbert,QB,DAL,0,0,0,0,0,0,0,0,73,bye,0,0,0,0,0,0,0,73,73.0
116,Willie Snead,WR,BAL,39,41,47,32,38,50,bye,59,34,45,48,0,0,48,43,12,0,536,41.2
117,Bennie Fowler,WR,NO,7,4,11,10,24,bye,0,0,0,0,0,0,0,0,0,0,0,56,11.2
118,Dontrelle Inman,WR,WAS,37,45,45,57,31,66,20,bye,0,0,0,11,10,0,0,0,2,324,32.4
119,Keith Smith,RB,ATL,13,12,19,16,9,13,14,17,12,bye,7,20,10,16,14,17,13,222,13.9
120,Senorise Perry,RB,TEN,0,2,0,bye,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3
121,Adam Thielen,WR,MIN,50,48,61,59,81,52,bye,47,50,72,57,0,83,71,64,56,76,927,61.8
122,Cameron Brate,TE,TB,7,4,5,16,33,23,12,12,12,29,29,23,bye,24,23,32,34,318,19.9
123,Josh Hill,TE,NO,36,22,20,40,28,bye,30,22,45,9,0,39,42,18,7,1,0,359,25.6
124,Darren Fells,TE,HOU,25,24,24,52,50,62,53,bye,34,34,21,29,27,40,18,20,26,539,33.7
125,Diontae Spencer,WR,DEN,6,3,2,1,bye,4,0,0,0,2,1,0,0,2,1,13,30,65,5.9
126,Seth Roberts,WR,CAR,5,19,17,8,10,15,19,0,0,0,0,0,bye,0,0,0,0,93,13.3
127,Kyle Nelson,TE,SF,0,0,2,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,2,0.7
128,Marcus Mariota,QB,LV,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,65,0,0,65,65.0
129,Jameis Winston,QB,NO,0,0,0,0,0,bye,0,0,10,34,0,3,0,0,0,0,7,54,13.5
130,Amari Cooper,WR,DAL,68,63,65,63,42,79,42,59,60,bye,54,50,69,42,45,51,81,933,58.3
131,DeVante Parker,WR,MIA,23,66,56,57,53,46,bye,29,55,53,63,67,55,27,0,0,76,726,51.9
132,Kevin White,WR,SF,0,0,0,0,2,0,0,0,7,0,bye,0,0,0,0,0,0,9,3.0
133,Melvin Gordon,RB,DEN,37,61,39,56,bye,0,46,36,44,40,34,35,35,28,34,51,51,627,41.8
134,Todd Gurley,RB,ATL,37,48,35,38,36,46,52,36,44,bye,23,0,22,19,16,27,28,507,33.8
135,Maxx Williams,TE,ARI,43,0,0,0,0,0,0,bye,34,39,38,53,18,51,23,0,27,326,36.2
136,Ameer Abdullah,RB,MIN,3,1,0,0,1,18,bye,0,1,3,0,0,4,15,1,11,16,74,4.6
137,Tevin Coleman,RB,SF,6,30,0,0,0,0,0,6,0,0,bye,0,4,2,6,7,2,63,7.9
138,Taylor Heinicke,QB,WAS,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,25,0,25,25.0
139,Duke Johnson,RB,HOU,14,0,0,25,17,19,20,bye,53,54,47,42,34,30,0,0,0,355,32.3
140,T.J. Yeldon,RB,BUF,0,0,6,8,28,0,0,0,0,0,bye,0,0,0,0,0,0,42,14.0
141,Mike Davis,RB,CAR,3,24,39,55,54,60,33,46,26,25,52,37,bye,49,37,40,0,580,38.7
142,David Johnson,RB,HOU,48,56,45,36,45,55,54,bye,7,0,0,0,37,0,55,50,62,550,45.8
143,Malcolm Brown,RB,LAR,44,37,34,35,26,27,0,57,bye,29,27,25,13,6,16,44,23,443,29.5
144,Jesse James,TE,DET,39,30,33,30,bye,23,24,20,25,32,29,38,24,26,32,12,28,445,27.8
145,Tyler Kroft,TE,BUF,4,31,44,20,35,30,58,37,27,0,bye,0,0,0,0,12,0,298,29.8
146,Nick Boyle,TE,BAL,41,51,26,38,39,57,bye,50,50,31,0,0,0,0,0,0,0,383,42.6
147,MyCole Pruitt,TE,TEN,31,21,25,bye,0,0,15,17,7,0,0,0,32,34,38,12,30,262,23.8
148,Blake Bell,TE,DAL,8,31,27,29,18,19,21,41,31,bye,14,18,18,15,22,30,16,358,22.4
149,Nelson Agholor,WR,LV,12,15,50,68,55,bye,51,56,43,43,44,42,52,45,64,49,44,733,45.8
150,Tyler Lockett,WR,SEA,58,60,74,56,52,bye,78,59,62,58,49,60,62,47,52,59,58,944,59.0
151,Breshad Perriman,WR,NYJ,56,20,0,0,0,63,54,0,45,bye,59,54,59,53,63,69,56,651,54.3
152,Jamison Crowder,WR,NYJ,48,0,0,64,52,63,0,0,31,bye,56,44,42,38,49,63,42,592,49.3
153,Ty Montgomery,RB,NO,4,6,0,0,0,bye,0,0,0,0,2,0,0,0,0,16,44,72,12.0
154,Stefon Diggs,WR,BUF,82,48,61,57,60,51,72,53,60,69,bye,60,69,70,67,56,31,966,60.4
155,Chris Manhertz,TE,CAR,36,36,24,58,32,33,20,19,30,26,42,25,bye,29,26,36,30,502,31.4
156,Jake Kumerow,WR,BUF,0,0,0,0,0,0,0,0,3,0,bye,1,4,4,5,0,0,17,2.8
157,C.J. Uzomah,TE,CIN,49,47,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,96,48.0
158,DeAndre Carter,WR,Multi,13,0,0,0,3,0,0,0,5,0,0,0,5,0,0,8,2,36,2.8
159,Darren Waller,TE,LV,56,74,56,70,64,bye,59,57,45,64,55,61,74,66,69,63,60,993,62.1
160,James O'Shaughnessy,TE,JAC,21,35,27,35,33,26,44,bye,33,25,0,24,33,27,25,26,31,445,29.7
161,Chris Conley,WR,JAC,16,34,53,21,24,4,16,bye,49,55,37,0,8,9,23,27,52,428,28.5
162,Geoff Swaim,TE,TEN,0,0,0,bye,28,49,10,0,0,36,44,46,39,32,0,24,46,354,35.4
163,Michael Burton,RB,NO,17,2,11,20,13,bye,12,11,28,15,13,19,14,7,8,18,0,208,13.9
164,Damiere Byrd,WR,NE,56,62,66,0,bye,55,48,65,80,42,62,45,52,52,53,50,40,828,55.2
165,Raheem Mostert,RB,SF,37,13,0,0,31,35,0,0,0,0,bye,29,27,40,25,0,0,237,29.6
166,Eric Tomlinson,TE,Multi,2,0,0,0,0,0,0,0,0,0,0,15,14,10,23,23,38,125,17.9
167,Daniel Brown,TE,NYJ,0,0,0,0,0,0,0,0,0,bye,0,1,11,4,2,7,3,28,1.8
168,Adam Humphries,WR,TEN,44,34,39,bye,0,41,31,12,0,0,0,0,26,0,0,0,0,227,32.4
169,Ross Travis,TE,NYJ,0,0,0,0,0,0,0,0,3,bye,0,0,0,0,0,0,0,3,3.0
170,Beau Brinkley,TE,TEN,0,0,0,bye,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.1
171,Laquon Treadwell,WR,ATL,0,0,0,0,0,0,0,0,0,bye,0,0,0,8,5,11,35,59,11.8
172,Ezekiel Elliott,RB,DAL,63,63,80,63,54,54,38,62,48,bye,46,39,50,32,0,37,48,777,51.8
173,Jared Goff,QB,LAR,73,69,69,57,68,60,0,95,bye,70,72,62,82,63,59,75,0,974,69.6
174,Derrick Henry,RB,TEN,61,44,56,bye,34,45,42,33,29,38,55,46,40,42,43,39,58,705,44.1
175,Carson Wentz,QB,PHI,68,71,91,62,59,72,80,63,bye,67,68,70,36,0,0,0,0,807,67.3
176,Michael Thomas,WR,NO,55,0,0,0,0,bye,0,0,40,46,57,43,47,57,0,0,0,345,49.3
177,Alex Collins,RB,SEA,0,0,0,0,0,bye,0,0,13,32,0,0,0,0,0,0,7,52,17.3
178,Tyler Boyd,WR,CIN,55,78,54,58,46,57,60,55,bye,52,56,40,24,59,11,0,41,746,49.7
179,Devontae Booker,RB,LV,8,11,4,6,15,bye,15,10,13,26,15,22,33,19,9,15,17,238,14.9
180,Pharoh Cooper,WR,CAR,3,6,9,19,15,4,2,2,4,0,3,0,bye,39,9,10,18,143,8.9
181,Hunter Henry,TE,LAC,59,71,69,45,67,bye,62,84,78,59,75,78,41,66,59,0,0,913,65.2
182,Sterling Shepard,WR,NYG,53,15,0,0,0,0,46,52,60,58,bye,63,27,39,38,61,49,561,46.8
183,Austin Hooper,TE,CLE,56,57,54,63,58,40,0,0,bye,55,45,47,54,0,45,59,51,684,52.6
184,Jordan Howard,RB,Multi,9,8,4,8,0,0,0,0,21,0,0,0,11,0,0,7,0,68,9.7
185,Rashard Higgins,WR,CLE,16,5,0,0,40,34,44,35,bye,38,40,41,49,69,47,0,44,502,38.6
186,Tajae Sharpe,WR,MIN,7,9,0,0,0,0,bye,0,0,0,0,7,0,5,0,0,0,28,7.0
187,Dak Prescott,QB,DAL,72,67,82,82,44,0,0,0,0,bye,0,0,0,0,0,0,0,347,69.4
188,Jonathan Williams,RB,DET,0,0,0,0,bye,0,0,0,0,0,0,21,6,0,0,0,0,27,5.4
189,C.J. Prosise,RB,HOU,0,3,2,0,0,0,0,bye,0,2,15,10,0,13,0,0,0,45,4.5
190,Jeff Driskel,QB,DEN,0,64,50,1,bye,0,0,0,0,0,0,0,0,0,0,0,0,115,38.3
191,Tyler Higbee,TE,LAR,65,59,50,48,56,45,0,57,bye,59,52,38,69,55,49,52,60,814,54.3
192,Will Fuller,WR,HOU,47,37,44,50,49,66,67,bye,57,55,60,47,0,0,0,0,0,579,52.6
193,Kenyan Drake,RB,ARI,58,50,44,37,50,42,34,bye,0,38,33,41,29,44,34,52,29,615,41.0
194,Jacoby Brissett,QB,IND,1,0,13,0,0,0,bye,0,1,1,7,10,3,3,3,1,4,47,4.3
195,Nick Vannett,TE,DEN,16,23,0,28,bye,29,35,11,11,10,41,20,30,45,16,15,31,361,24.1
196,Chris Moore,WR,BAL,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,2,12,14,4.7
197,Tyler Ervin,RB,GB,14,28,23,23,bye,0,0,20,22,8,0,0,4,0,0,0,0,142,17.8
198,Demarcus Robinson,WR,KC,33,48,41,0,50,69,34,36,50,bye,63,57,37,33,50,41,47,689,45.9
199,Seth DeValve,TE,ARI,0,0,0,0,0,0,0,bye,0,0,0,0,2,27,0,19,0,48,12.0
200,Jakeem Grant,WR,MIA,33,10,8,29,14,20,bye,16,29,44,55,24,39,31,0,19,0,371,26.5
201,Robby Anderson,WR,CAR,56,54,40,45,47,59,40,45,69,35,50,53,bye,57,62,52,42,806,50.4
202,D.J. Foster,RB,ARI,0,0,0,0,0,0,0,bye,5,0,0,0,0,0,0,17,3,25,2.5
203,Alex Erickson,WR,CIN,4,8,6,7,2,3,0,1,bye,0,5,8,19,8,28,62,37,198,12.4
204,Brandon Allen,QB,CIN,0,0,0,0,0,0,0,0,bye,0,0,49,44,65,0,76,43,277,55.4
205,Stephen Anderson,TE,LAC,11,4,5,3,0,bye,8,1,3,2,6,6,15,3,4,25,43,139,8.7
206,Andy Janovich,RB,CLE,10,22,17,24,14,7,9,6,bye,15,0,0,13,9,12,11,3,172,12.3
207,Derek Watt,RB,PIT,8,6,7,bye,0,4,0,0,0,6,11,4,3,0,0,3,0,52,4.3
208,Tyreek Hill,WR,KC,59,69,60,0,63,67,37,50,59,bye,72,68,61,57,84,43,0,849,60.6
209,DeAndre Washington,RB,Multi,0,0,0,0,0,0,10,0,0,4,0,34,0,39,0,0,0,87,21.8
210,Marcus Johnson,WR,IND,0,0,0,34,30,40,bye,48,60,18,38,26,1,8,0,0,0,303,27.5
211,Nate Sudfeld,QB,PHI,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,18,18,18.0
212,Dwayne Washington,RB,NO,0,0,0,0,0,bye,0,0,8,0,0,3,0,0,0,0,0,11,1.0
213,Temarrick Hemingway,TE,WAS,0,0,0,0,5,10,26,bye,1,1,10,9,0,0,0,0,0,62,7.8
214,Mike Thomas,WR,CIN,16,32,16,25,33,26,17,6,bye,18,0,0,13,6,1,12,10,231,16.5
215,Peyton Barber,RB,WAS,29,1,5,5,2,8,23,bye,1,10,14,17,24,30,13,4,6,192,12.0
216,J.P. Holtz,TE,CHI,5,7,2,5,5,7,0,5,6,6,bye,11,1,5,7,9,2,83,5.5
217,Kalif Raymond,WR,TEN,18,28,20,bye,36,21,1,24,14,16,15,15,14,16,0,7,3,248,16.5
218,Marvin Hall,WR,Multi,16,17,6,5,0,8,12,42,53,38,38,49,0,0,0,74,0,358,29.8
219,Jaydon Mickens,WR,TB,0,0,2,11,8,3,3,44,1,0,0,0,bye,0,0,0,3,75,7.5
220,Jalen Richard,RB,LV,7,17,20,16,14,bye,19,14,9,3,0,0,32,21,3,17,0,192,14.8
221,C.J. Ham,RB,MIN,12,12,27,33,29,9,bye,22,34,35,35,22,44,40,20,0,32,406,27.1
222,Marken Michel,WR,CAR,0,0,0,0,0,0,0,0,0,0,0,0,bye,3,0,0,0,3,1.5
223,J.D. McKissic,RB,WAS,32,29,34,39,27,39,33,bye,45,62,32,28,53,41,70,49,28,641,40.1
224,Garrett Griffin,TE,NO,0,0,0,22,18,bye,0,0,0,0,19,0,0,0,0,0,32,91,22.8
225,Tommylee Lewis,WR,NO,0,0,0,0,0,bye,0,5,0,0,0,0,4,1,6,0,7,23,4.6
226,Elijhaa Penny,RB,NYG,3,4,2,1,3,5,2,3,5,11,bye,14,10,2,8,0,0,73,5.2
227,Duke Williams,WR,BUF,0,0,0,0,0,0,4,0,0,0,bye,0,0,0,0,0,0,4,4.0
228,Troymaine Pope,RB,LAC,0,0,0,0,4,bye,12,25,0,0,16,6,0,0,0,0,0,63,10.5
229,Dalvin Cook,RB,MIN,30,43,48,49,36,0,bye,46,38,59,52,46,79,54,52,37,0,669,47.8
230,Mike Williams,WR,LAC,58,74,40,0,55,bye,61,76,73,48,68,67,59,2,28,48,42,799,53.3
231,Leonard Fournette,RB,TB,9,26,25,0,1,0,40,51,33,29,36,33,bye,0,45,25,30,383,29.5
232,O.J. Howard,TE,TB,37,34,33,28,0,0,0,0,0,0,0,0,bye,0,0,0,0,132,33.0
233,Mitchell Trubisky,QB,CHI,65,65,39,0,0,0,0,1,0,0,bye,68,69,60,64,64,75,570,57.0
234,Corey Davis,WR,TEN,66,50,55,bye,0,0,52,49,43,40,52,56,57,42,53,45,59,719,51.4
235,John Ross,WR,CIN,58,28,0,0,0,1,0,0,bye,0,0,0,0,0,0,0,0,87,29.0
236,Christian McCaffrey,RB,CAR,65,47,0,0,0,0,0,0,59,0,0,0,bye,0,0,0,0,171,57.0
237,Deshaun Watson,QB,HOU,59,59,47,65,58,71,68,bye,65,57,61,56,64,65,69,52,63,979,61.2
