,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
74,Ameer Abdullah,RB,Multi,9,1,22,5,12,0,0,22,22,16,8,27,0,,,,,,144,12.0
75,Alexander Mattison,RB,MIN,9,13,51,23,44,12,bye,8,9,12,12,22,65,,,,,,280,23.3
76,Dalvin Cook,RB,MIN,59,47,0,33,0,66,bye,47,43,65,53,29,0,,,,,,442,49.1
77,C.J. Ham,RB,MIN,25,0,22,21,32,21,bye,26,21,27,23,20,25,,,,,,263,23.9
78,Chris Herndon,TE,MIN,12,0,0,0,7,24,bye,15,0,23,0,0,0,,,,,,81,16.2
79,Tyler Conklin,TE,MIN,59,49,54,57,50,76,bye,54,47,67,56,44,72,,,,,,685,57.1
80,Adam Thielen,WR,MIN,78,61,72,66,62,87,bye,65,48,71,66,53,6,,,,,,735,61.3
81,K.J. Osborn,WR,MIN,67,36,44,42,40,48,bye,38,26,41,36,30,70,,,,,,518,43.2
82,Justin Jefferson,WR,MIN,76,53,62,59,60,84,bye,47,43,60,63,51,69,,,,,,727,60.6
83,Dede Westbrook,WR,MIN,15,2,6,8,14,12,bye,0,2,5,11,5,32,,,,,,112,10.2
84,Kirk Cousins,QB,MIN,83,61,75,67,67,89,bye,66,54,79,70,55,76,,,,,,842,70.2
85,Ihmir Smith-Marsette,WR,MIN,4,0,0,0,0,0,bye,11,0,0,0,0,0,,,,,,15,3.8
86,Carson Wentz,QB,IND,76,62,61,71,69,48,68,80,62,64,62,69,62,,,,,,854,65.7
87,Nyheim Hines,RB,IND,34,25,34,22,26,11,19,25,28,18,13,25,14,,,,,,294,22.6
88,Jonathan Taylor,RB,IND,42,30,29,36,36,31,47,59,43,54,57,49,55,,,,,,568,43.7
89,Mike Strachan,WR,IND,18,34,0,0,0,0,0,0,0,0,0,0,0,,,,,,52,26.0
90,Michael Pittman,WR,IND,74,60,57,61,61,46,62,77,53,56,52,65,54,,,,,,778,59.8
91,Parris Campbell,WR,IND,46,0,49,31,38,5,0,0,0,0,0,0,0,,,,,,169,33.8
92,Jack Doyle,TE,IND,45,50,35,21,50,31,50,50,42,37,51,42,42,,,,,,546,42.0
93,Mo Alie-Cox,TE,IND,39,27,28,49,31,24,43,39,38,35,28,39,31,,,,,,451,34.7
94,Zach Pascal,WR,IND,69,61,54,58,59,41,57,75,52,57,54,64,54,,,,,,755,58.1
95,Ashton Dulin,WR,IND,6,26,7,12,23,13,43,29,23,7,20,4,22,,,,,,235,18.1
96,Russell Wilson,QB,SEA,54,54,53,56,40,0,0,0,bye,61,49,47,70,,,,,,484,53.8
97,Chris Carson,RB,SEA,42,34,23,25,0,0,0,0,bye,0,0,0,0,,,,,,124,31.0
98,Rashaad Penny,RB,SEA,7,0,0,0,0,0,20,11,bye,0,8,0,29,,,,,,75,15.0
99,Freddie Swain,WR,SEA,23,41,45,25,40,51,43,37,bye,41,20,31,32,,,,,,429,35.8
100,D'Wayne Eskridge,WR,SEA,12,0,0,0,0,0,0,0,bye,5,0,13,22,,,,,,52,13.0
101,DeeJay Dallas,RB,SEA,3,0,0,1,14,22,1,2,bye,0,18,28,2,,,,,,91,7.6
102,Gerald Everett,TE,SEA,39,43,42,0,0,31,33,44,bye,46,42,37,54,,,,,,411,41.1
103,D.K. Metcalf,WR,SEA,50,51,47,46,48,49,46,41,bye,45,45,44,62,,,,,,574,47.8
104,Will Dissly,TE,SEA,38,0,20,46,57,47,0,36,bye,32,25,16,33,,,,,,350,35.0
105,Tyler Lockett,WR,SEA,46,50,49,48,56,58,48,44,bye,58,45,47,59,,,,,,608,50.7
106,Travis Homer,RB,SEA,2,14,16,9,8,5,12,17,bye,31,5,0,21,,,,,,140,12.7
107,Penny Hart,WR,SEA,2,0,8,0,12,11,10,16,bye,17,4,0,9,,,,,,89,9.9
108,Josh Allen,QB,BUF,85,63,71,63,57,77,bye,73,67,54,50,63,58,,,,,,781,65.1
109,Matt Breida,RB,BUF,10,0,0,0,0,0,bye,0,0,8,18,21,7,,,,,,64,12.8
110,Devin Singletary,RB,BUF,64,43,34,32,15,35,bye,25,48,22,21,45,28,,,,,,412,34.3
111,Isaiah McKenzie,WR,BUF,15,13,15,4,8,4,bye,13,19,13,9,0,0,,,,,,113,11.3
112,Dawson Knox,TE,BUF,48,54,62,58,55,61,bye,0,0,49,55,60,56,,,,,,558,55.8
113,Cole Beasley,WR,BUF,77,39,52,36,22,67,bye,52,45,9,32,46,40,,,,,,517,43.1
114,Gabriel Davis,WR,BUF,43,0,23,31,14,26,bye,32,19,30,19,28,16,,,,,,281,25.5
115,Emmanuel Sanders,WR,BUF,79,50,63,51,45,71,bye,56,66,35,44,51,46,,,,,,657,54.8
116,Stefon Diggs,WR,BUF,79,51,59,53,42,62,bye,55,59,46,43,54,55,,,,,,658,54.8
117,Najee Harris,RB,PIT,58,53,79,48,42,63,bye,62,59,76,52,36,58,,,,,,686,57.2
118,Ben Roethlisberger,QB,PIT,58,56,83,60,65,75,bye,74,72,0,69,62,60,,,,,,734,66.7
119,Chase Claypool,WR,PIT,39,43,76,0,36,63,bye,72,58,0,63,61,38,,,,,,549,54.9
120,Pat Freiermuth,TE,PIT,29,33,30,32,32,45,bye,58,51,54,39,47,44,,,,,,494,41.2
121,Zach Gentry,TE,PIT,16,0,0,11,22,0,bye,45,0,0,0,22,30,,,,,,146,24.3
122,Diontae Johnson,WR,PIT,44,49,0,55,60,69,bye,68,65,75,63,61,57,,,,,,666,60.5
123,JuJu Smith-Schuster,WR,PIT,53,54,33,57,25,0,bye,0,0,0,0,0,0,,,,,,222,44.4
124,James Washington,WR,PIT,15,12,66,49,0,8,bye,34,41,76,46,27,22,,,,,,396,36.0
125,Eric Ebron,TE,PIT,27,24,47,28,25,34,bye,0,0,29,32,0,0,,,,,,246,30.8
126,Ray-Ray McCloud,WR,PIT,3,1,47,4,34,52,bye,11,26,61,15,0,40,,,,,,294,26.7
127,Derek Watt,RB,PIT,4,0,7,2,9,6,bye,0,7,6,0,2,6,,,,,,49,5.4
128,Benny Snell,RB,PIT,0,3,0,8,13,0,bye,2,6,6,8,7,2,,,,,,55,5.0
129,Jared Goff,QB,DET,92,57,63,71,68,63,69,58,bye,71,0,49,72,,,,,,733,66.6
130,Kalif Raymond,WR,DET,69,36,47,53,46,56,56,49,bye,47,34,39,35,,,,,,567,47.3
131,D'Andre Swift,RB,DET,63,36,35,52,50,49,52,44,bye,66,35,10,0,,,,,,492,44.7
132,Jamaal Williams,RB,DET,32,22,31,21,22,19,20,0,bye,0,13,31,34,,,,,,245,24.5
133,Amon-Ra St.,WR,DET,59,34,27,51,47,49,0,45,bye,43,41,48,69,,,,,,513,46.6
134,Trinity Benson,WR,DET,49,24,24,20,21,0,0,0,bye,48,0,0,0,,,,,,186,31.0
135,Quintez Cephus,WR,DET,32,51,45,62,22,0,0,0,bye,0,0,0,0,,,,,,212,42.4
136,Darren Fells,TE,Multi,27,0,26,0,0,0,28,0,0,0,0,0,0,,,,,,81,27.0
137,T.J. Hockenson,TE,DET,78,53,53,58,55,52,55,47,bye,67,42,37,61,,,,,,658,54.8
138,Tyrell Williams,WR,DET,39,0,0,0,0,0,0,0,bye,0,0,0,0,,,,,,39,39.0
139,Godwin Igwebuike,RB,DET,0,0,0,0,0,0,0,11,bye,4,1,4,28,,,,,,48,4.8
140,JaMycal Hasty,RB,SF,16,25,0,0,0,bye,0,0,0,0,0,0,0,,,,,,41,20.5
141,Trey Lance,QB,SF,4,0,3,39,65,bye,0,0,0,0,5,0,0,,,,,,116,23.2
142,Elijah Mitchell,RB,SF,35,43,0,0,44,bye,37,36,39,36,0,49,49,,,,,,368,40.9
143,Raheem Mostert,RB,SF,4,0,0,0,0,bye,0,0,0,0,0,0,0,,,,,,4,4.0
144,Jimmy Garoppolo,QB,SF,51,70,67,37,0,bye,56,56,59,68,64,70,58,,,,,,656,59.6
145,George Kittle,TE,SF,52,70,70,70,0,bye,0,0,43,52,57,65,54,,,,,,533,59.2
146,Trent Sherfield,WR,SF,27,24,0,22,0,bye,16,0,0,0,11,20,57,,,,,,177,25.3
147,Deebo Samuel,WR,SF,46,49,63,68,56,bye,48,46,54,49,55,46,0,,,,,,580,52.7
148,Kyle Juszczyk,RB,SF,20,41,48,62,42,bye,0,31,24,40,38,44,32,,,,,,422,38.4
149,Mohamed Sanu,WR,SF,20,20,45,39,30,bye,28,25,33,0,0,0,0,,,,,,240,30.0
150,Brandon Aiyuk,WR,SF,26,38,60,51,46,bye,40,49,55,61,64,63,54,,,,,,607,50.6
151,Jaret Patterson,RB,WAS,4,0,0,5,5,2,0,16,bye,5,13,3,4,,,,,,57,6.3
152,Antonio Gibson,RB,WAS,36,43,31,37,47,23,30,23,bye,46,33,57,55,,,,,,461,38.4
153,Taylor Heinicke,QB,WAS,39,71,54,67,83,59,72,70,bye,73,67,84,67,,,,,,806,67.2
154,Ryan Fitzpatrick,QB,WAS,16,0,0,0,0,0,0,0,bye,0,0,0,0,,,,,,16,16.0
155,J.D. McKissic,RB,WAS,20,31,25,27,34,36,46,32,bye,28,31,33,0,,,,,,343,31.2
156,Logan Thomas,TE,WAS,55,71,54,0,0,0,0,0,bye,0,0,66,43,,,,,,289,57.8
157,Adam Humphries,WR,WAS,33,50,34,45,51,31,50,44,bye,38,30,32,34,,,,,,472,39.3
158,Cam Sims,WR,WAS,2,0,20,5,0,0,0,15,bye,13,11,12,0,,,,,,78,11.1
159,Dyami Brown,WR,WAS,51,62,35,28,0,47,0,0,bye,0,0,0,6,,,,,,229,38.2
160,Terry McLaurin,WR,WAS,55,71,52,65,70,56,66,61,bye,70,62,76,62,,,,,,766,63.8
161,DeAndre Carter,WR,WAS,2,6,5,11,58,12,39,49,bye,49,50,61,49,,,,,,391,32.6
162,Justin Herbert,QB,LAC,81,71,66,75,75,56,bye,60,69,59,76,71,64,,,,,,823,68.6
163,Austin Ekeler,RB,LAC,47,45,49,45,53,34,bye,45,46,42,53,48,47,,,,,,554,46.2
164,Justin Jackson,RB,LAC,11,16,7,11,0,8,bye,7,0,0,5,0,16,,,,,,81,9.0
165,Gabe Nabers,RB,LAC,9,2,9,5,0,3,bye,0,0,0,0,0,0,,,,,,28,5.6
166,Larry Rountree,RB,LAC,22,10,11,22,0,0,bye,8,6,9,19,0,0,,,,,,107,11.9
167,Jared Cook,TE,LAC,47,42,46,39,50,36,bye,33,29,34,38,37,35,,,,,,466,38.8
168,Stephen Anderson,TE,LAC,20,15,0,23,15,12,bye,7,31,7,0,6,22,,,,,,158,15.8
169,Jalen Guyton,WR,LAC,53,50,41,42,43,40,bye,35,25,18,41,39,34,,,,,,461,38.4
170,Keenan Allen,WR,LAC,67,65,55,66,68,51,bye,59,62,55,62,61,53,,,,,,724,60.3
171,Joshua Palmer,WR,LAC,14,18,0,0,16,29,bye,8,21,18,23,30,22,,,,,,199,19.9
172,KJ Hill,WR,LAC,7,0,0,2,4,1,bye,0,0,0,0,0,0,,,,,,14,2.3
173,Donald Parham,TE,LAC,41,34,31,39,40,26,bye,25,28,27,32,28,16,,,,,,367,30.6
174,Mike Williams,WR,LAC,61,54,48,64,58,20,bye,54,57,56,60,61,56,,,,,,649,54.1
175,D.J. Moore,WR,CAR,52,67,54,59,62,68,62,61,50,59,48,53,bye,,,,,,695,57.9
176,Sam Darnold,QB,CAR,64,76,73,70,71,74,45,64,59,0,0,0,bye,,,,,,596,66.2
177,Christian McCaffrey,RB,CAR,57,54,22,0,0,0,0,0,29,44,46,20,bye,,,,,,272,38.9
178,Ian Thomas,TE,CAR,35,52,0,44,45,40,45,46,38,0,32,40,bye,,,,,,417,41.7
179,Terrace Marshall,WR,CAR,34,39,45,50,54,23,0,0,22,18,14,0,bye,,,,,,299,33.2
180,Robby Anderson,WR,CAR,52,56,47,59,62,64,61,55,54,51,47,51,bye,,,,,,659,54.9
181,Chuba Hubbard,RB,CAR,7,19,40,33,46,48,34,41,10,16,0,11,bye,,,,,,305,27.7
182,Dan Arnold,TE,Multi,33,22,27,18,52,41,0,55,35,45,30,5,0,,,,,,363,33.0
183,Alex Erickson,WR,CAR,2,8,6,8,5,12,1,3,2,1,2,1,bye,,,,,,51,4.3
184,Tommy Tremble,TE,CAR,12,0,19,27,27,38,35,34,34,51,24,25,bye,,,,,,326,29.6
185,Michael Carter,RB,NYJ,16,33,23,31,29,bye,47,59,45,40,20,0,0,,,,,,343,34.3
186,Ty Johnson,RB,NYJ,35,33,31,20,22,bye,21,24,32,25,20,23,28,,,,,,314,26.2
187,Tevin Coleman,RB,NYJ,17,7,0,11,5,bye,0,0,0,17,20,30,23,,,,,,130,16.3
188,Tyler Kroft,TE,NYJ,43,55,23,46,0,bye,0,51,15,0,0,0,0,,,,,,233,38.8
189,Elijah Moore,WR,NYJ,56,57,26,0,23,bye,37,30,46,43,48,59,51,,,,,,476,43.3
190,Ryan Griffin,TE,NYJ,31,45,33,35,51,bye,50,41,48,55,47,56,32,,,,,,524,43.7
191,Denzel Mims,WR,NYJ,3,0,0,0,8,bye,20,59,46,0,0,0,21,,,,,,157,26.2
192,Corey Davis,WR,NYJ,58,53,51,50,45,bye,47,0,0,65,56,0,25,,,,,,450,50.0
193,Braxton Berrios,WR,NYJ,37,43,42,9,6,bye,6,20,16,22,10,13,19,,,,,,243,20.3
194,Jeff Smith,WR,NYJ,9,20,6,0,0,bye,0,20,22,0,0,0,15,,,,,,92,15.3
195,Zach Wilson,QB,NYJ,65,73,54,61,56,bye,18,0,0,0,0,67,59,,,,,,453,56.6
196,Cordarrelle Patterson,RB,ATL,24,24,26,23,46,bye,46,32,33,15,0,29,34,,,,,,332,30.2
197,Mike Davis,RB,ATL,54,46,37,51,50,bye,38,34,33,20,26,30,38,,,,,,457,38.1
198,Keith Smith,RB,ATL,21,18,22,16,14,bye,11,0,0,19,19,13,21,,,,,,174,17.4
199,Matt Ryan,QB,ATL,70,66,62,76,78,bye,63,53,59,38,50,60,71,,,,,,746,62.2
200,Hayden Hurst,TE,ATL,43,30,24,49,43,bye,37,33,26,0,0,0,0,,,,,,285,35.6
201,Kyle Pitts,TE,ATL,49,57,52,55,54,bye,42,44,44,33,44,47,67,,,,,,588,49.0
202,Calvin Ridley,WR,ATL,61,60,59,73,0,bye,46,0,0,0,0,0,0,,,,,,299,59.8
203,Russell Gage,WR,ATL,49,38,0,0,0,bye,40,0,48,35,40,46,53,,,,,,349,43.6
204,Jalen Hurts,QB,PHI,71,58,58,74,67,52,69,51,57,64,78,67,0,,,,,,766,63.8
205,Kenneth Gainwell,RB,PHI,25,19,18,29,16,12,35,20,11,20,0,11,27,,,,,,243,20.3
206,Miles Sanders,RB,PHI,47,39,35,47,50,43,12,0,0,0,36,22,41,,,,,,372,37.2
207,Zach Ertz,TE,Multi,41,37,30,37,40,46,35,43,56,45,63,0,41,,,,,,514,42.8
208,DeVonta Smith,WR,PHI,62,49,57,68,62,51,60,44,44,54,72,61,44,,,,,,728,56.0
209,Jalen Reagor,WR,PHI,50,42,50,52,47,43,56,12,29,50,55,45,48,,,,,,579,44.5
210,Quez Watkins,WR,PHI,34,29,38,43,55,40,50,58,55,57,64,55,55,,,,,,633,48.7
211,Dallas Goedert,TE,PHI,52,38,34,55,45,0,64,44,53,13,75,64,68,,,,,,605,50.4
212,Boston Scott,RB,PHI,0,0,4,0,0,0,23,29,25,20,29,34,3,,,,,,167,18.6
213,J.J. Arcega-Whiteside,WR,PHI,16,0,0,11,0,0,8,0,0,0,12,15,0,,,,,,62,12.4
214,Clyde Edwards-Helaire,RB,KC,47,33,49,35,22,0,0,0,0,0,32,bye,29,,,,,,247,35.3
215,Darrel Williams,RB,KC,14,14,27,24,37,59,46,52,35,45,36,bye,26,,,,,,415,34.6
216,Blake Bell,TE,KC,19,20,23,0,17,0,0,24,26,24,23,bye,0,,,,,,176,22.0
217,Michael Burton,RB,KC,5,5,0,4,2,6,0,0,0,0,0,bye,7,,,,,,29,4.8
218,Tyreek Hill,WR,KC,57,50,58,54,73,47,52,62,54,56,55,bye,50,,,,,,668,55.7
219,Patrick Mahomes,QB,KC,65,51,79,67,86,82,54,81,65,73,68,bye,57,,,,,,828,69.0
220,Mecole Hardman,WR,KC,45,40,51,35,59,49,49,40,42,24,12,bye,9,,,,,,455,37.9
221,Demarcus Robinson,WR,KC,48,30,57,0,65,57,57,33,14,26,28,bye,31,,,,,,446,40.5
222,Byron Pringle,WR,KC,11,11,30,17,26,32,34,43,0,46,40,bye,41,,,,,,331,30.1
223,Travis Kelce,TE,KC,55,44,69,59,75,67,53,74,56,58,59,bye,44,,,,,,713,59.4
224,Marcus Kemp,WR,KC,5,0,7,2,4,6,6,2,0,4,0,bye,4,,,,,,40,4.4
225,Nick Chubb,RB,CLE,31,35,40,37,40,0,0,33,27,0,42,30,bye,,,,,,315,35.0
226,Anthony Schwartz,WR,CLE,31,30,28,15,9,26,29,6,28,9,0,0,bye,,,,,,211,21.1
227,Baker Mayfield,QB,CLE,59,61,76,78,72,55,0,59,45,36,74,60,bye,,,,,,675,61.4
228,Kareem Hunt,RB,CLE,28,23,33,41,32,41,0,0,0,0,0,23,bye,,,,,,221,31.6
229,Jarvis Landry,WR,CLE,51,2,0,0,0,0,38,53,32,47,48,56,bye,,,,,,327,40.9
230,David Njoku,TE,CLE,35,36,0,52,46,26,42,38,35,35,47,43,bye,,,,,,435,39.5
231,Andy Janovich,RB,CLE,11,11,0,5,0,0,0,0,4,0,0,0,bye,,,,,,31,7.8
232,Austin Hooper,TE,CLE,38,42,49,56,52,44,46,38,35,37,48,54,bye,,,,,,539,44.9
233,Harrison Bryant,TE,CLE,19,31,33,29,31,0,30,23,25,23,31,16,bye,,,,,,291,26.5
234,Donovan Peoples-Jones,WR,CLE,47,46,53,46,49,46,0,0,29,50,0,45,bye,,,,,,411,45.7
235,Demetric Felton,RB,CLE,0,3,11,6,3,12,22,9,6,0,12,1,bye,,,,,,85,7.7
236,Tony Jones,RB,NO,22,12,13,9,0,bye,0,0,0,0,10,21,0,,,,,,87,14.5
237,Jameis Winston,QB,NO,60,42,59,60,56,bye,74,20,0,0,0,0,0,,,,,,371,53.0
238,Alvin Kamara,RB,NO,45,37,52,59,49,bye,61,51,52,0,0,0,0,,,,,,406,50.8
239,Taysom Hill,QB,NO,22,10,33,34,9,bye,0,0,17,21,0,0,70,,,,,,216,27.0
240,Juwan Johnson,TE,NO,12,18,8,14,6,bye,20,17,0,10,0,0,24,,,,,,129,14.3
241,Deonte Harris,WR,NO,27,21,19,33,2,bye,0,24,23,26,27,23,28,,,,,,253,23.0
242,Marquez Callaway,WR,NO,52,32,38,56,46,bye,68,59,60,52,50,34,48,,,,,,595,49.6
243,Chris Hogan,WR,NO,14,16,16,14,8,bye,0,0,0,0,0,0,0,,,,,,68,13.6
244,Ty Montgomery,RB,NO,16,14,13,34,25,bye,12,33,0,6,0,29,36,,,,,,218,21.8
245,Adam Trautman,TE,NO,51,0,51,39,48,bye,64,66,67,56,44,0,0,,,,,,486,54.0
246,Kylin Hill,RB,GB,14,5,0,0,2,0,5,0,0,0,0,0,bye,,,,,,26,3.3
247,Randall Cobb,WR,GB,15,12,21,33,35,0,35,50,33,50,45,19,bye,,,,,,348,31.6
248,Aaron Jones,RB,GB,28,45,46,45,44,35,41,48,40,34,0,40,bye,,,,,,446,40.5
249,AJ Dillon,RB,GB,16,19,18,29,21,25,13,29,24,36,44,42,bye,,,,,,316,26.3
