Player,FPTS,Team,Pos
Darren Waller,0.0,LV,TE
Hunter Henry,0.0,NE,TE
Austin Hooper,0.0,CLE,TE
Tyler Higbee,0.0,LAR,TE
Cardinals,0.0,ARI,DST
Vikings,0.0,MIN,DST
Titans,0.0,TEN,DST
Buccaneers,0.0,TB,DST
Rams,0.0,LAR,DST
49ers,0.0,SF,DST
Seahawks,0.0,SEA,DST
Chargers,0.0,LAC,DST
Steelers,0.0,PIT,DST
Eagles,0.0,PHI,DST
Raiders,0.0,LV,DST
Jets,0.0,NYJ,DST
Giants,0.0,NYG,DST
Saints,0.0,NO,DST
Patriots,0.0,NE,DST
Dolphins,0.0,MIA,DST
Falcons,0.0,ATL,DST
Chiefs,0.0,KC,DST
Jaguars,0.0,JAC,DST
Colts,0.0,IND,DST
Texans,0.0,HOU,DST
Packers,0.0,GB,DST
Lions,0.0,DET,DST
Broncos,0.0,DEN,DST
Cowboys,0.0,DAL,DST
Browns,0.0,CLE,DST
Bengals,0.0,CIN,DST
Bears,0.0,CHI,DST
Panthers,0.0,CAR,DST
Bills,0.0,BUF,DST
Ravens,0.0,BAL,DST
Team,0.0,WAS,DST
Graham Gano,163.0,NYG,K
Robbie Gould,148.0,SF,K
Cairo Santos,146.0,CHI,K
Justin Tucker,146.0,BAL,K
Brandon McManus,140.0,DEN,K
Chris Boswell,126.0,PIT,K
Josh Lambo,125.0,FA,K
Dustin Hopkins,125.0,LAC,K
Mason Crosby,124.0,GB,K
Jason Myers,122.0,SEA,K
Matt Prater,118.0,ARI,K
Sebastian Janikowski,114.0,FA,K
Travis Coons,113.0,FA,K
Greg Zuerlein,97.0,DAL,K
Randy Bullock,87.0,TEN,K
Ryan Succop,80.0,TB,K
Matt Bryant,74.0,FA,K
Kai Forbath,66.0,LAR,K
Nick Folk,65.0,NE,K
Michael Badgley,0.0,IND,K
Greg Joseph,0.0,MIN,K
Jason Sanders,0.0,MIA,K
Matt Gay,0.0,LAR,K
Daniel Carlson,0.0,LV,K
Brian Johnson,0.0,WAS,K
Younghoe Koo,0.0,ATL,K
Wil Lutz,0.0,NO,K
Aldrick Rosas,0.0,DET,K
Jake Elliott,0.0,PHI,K
Zane Gonzalez,0.0,CAR,K
Harrison Butker,0.0,KC,K
Evan McPherson,0.0,CIN,K
Joey Slye,0.0,WAS,K
Chase McLaughlin,0.0,CLE,K
Rodrigo Blankenship,0.0,IND,K
Tyler Bass,0.0,BUF,K
Michael Palardy,0.0,MIA,K
