,Player,FPTS,Team,Pos
248,Ja'Marr Chase,0.0,CIN,WR
251,Nick Westbrook-Ikhine,0.0,TEN,WR
270,Marquez Callaway,0.0,NO,WR
271,Calvin Ridley,0.0,ATL,WR
272,Michael Gallup,0.0,DAL,WR
274,Tre'Quan Smith,0.0,NO,WR
275,Cedrick Wilson,0.0,DAL,WR
278,DJ Moore,0.0,CAR,WR
279,Christian Kirk,0.0,ARI,WR
281,Braxton Berrios,0.0,NYJ,WR
284,Quez Watkins,0.0,PHI,WR
285,KJ Osborn,0.0,MIN,WR
299,Courtland Sutton,0.0,DEN,WR
300,Juwan Johnson,0.0,NO,WR
302,James Washington,0.0,PIT,WR
306,Deebo Samuel,0.0,SF,WR
310,Marquise Brown,0.0,BAL,WR
311,DK Metcalf,0.0,SEA,WR
312,AJ Brown,0.0,TEN,WR
316,Terry McLaurin,0.0,WAS,WR
317,Parris Campbell,0.0,IND,WR
318,Hunter Renfrow,0.0,LV,WR
337,Russell Gage,0.0,ATL,WR
342,Marquez Valdes-Scantling,0.0,GB,WR
343,Jalen Guyton,0.0,LAC,WR
349,Deonte Harty,0.0,NO,WR
356,Byron Pringle,0.0,KC,WR
360,Jakobi Meyers,0.0,NE,WR
362,Mecole Hardman,0.0,KC,WR
364,Diontae Johnson,0.0,PIT,WR
368,Darius Slayton,0.0,NYG,WR
373,Bryan Edwards,0.0,LV,WR
374,Tyler Johnson,0.0,TB,WR
375,Chase Claypool,0.0,PIT,WR
384,Joshua Palmer,0.0,LAC,WR
402,Terrace Marshall,0.0,CAR,WR
417,Kadarius Toney,0.0,NYG,WR
421,Elijah Moore,0.0,NYJ,WR
436,Nico Collins,0.0,HOU,WR
476,Tajae Sharpe,0.0,ATL,WR
477,Zach Pascal,0.0,IND,WR
483,Cyril Grayson,0.0,TB,WR
487,Tim Patrick,0.0,DEN,WR
499,Jamal Agnew,0.0,JAC,WR
506,DeAndre Carter,0.0,WAS,WR
0,Travis Kelce,233.5,KC,TE
1,Rob Gronkowski,227.3,TB,TE
2,Zach Ertz,202.4,ARI,TE
4,Evan Engram,173.6,NYG,TE
6,Jack Doyle,169.0,IND,TE
9,Cameron Brate,143.1,TB,TE
10,Benjamin Watson,137.2,FA,TE
11,Jared Cook,132.7,LAC,TE
12,Eric Ebron,132.4,PIT,TE
13,Hunter Henry,126.9,NE,TE
15,Vernon Davis,121.8,FA,TE
16,Austin Hooper,119.6,CLE,TE
18,George Kittle,106.5,SF,TE
20,OJ Howard,101.2,TB,TE
23,David Njoku,94.7,CLE,TE
34,Tyler Higbee,60.5,LAR,TE
35,Jordan Reed,60.1,FA,TE
37,Martellus Bennett,58.6,FA,TE
42,Gerald Everett,51.7,SEA,TE
45,Jonnu Smith,45.7,NE,TE
48,Greg Olsen,42.1,FA,TE
55,James O'Shaughnessy,34.9,JAC,TE
61,Ricky Seals-Jones,29.7,WAS,TE
68,CJ Uzomah,25.2,CIN,TE
72,Logan Thomas,19.7,WAS,TE
112,Adam Trautman,0.0,NO,TE
115,Cole Kmet,0.0,CHI,TE
130,Brevin Jordan,0.0,HOU,TE
131,Pat Freiermuth,0.0,PIT,TE
132,Kyle Pitts,0.0,ATL,TE
138,Juwan Johnson,0.0,NO,TE
152,Tyler Conklin,0.0,MIN,TE
162,Dalton Schultz,0.0,DAL,TE
163,Mark Andrews,0.0,BAL,TE
164,Dallas Goedert,0.0,PHI,TE
165,Mike Gesicki,0.0,MIA,TE
174,Noah Fant,0.0,DEN,TE
187,Foster Moreau,0.0,LV,TE
191,TJ Hockenson,0.0,DET,TE
196,Dawson Knox,0.0,BUF,TE
197,Kendall Blanton,0.0,LAR,TE
204,Irv Smith,0.0,MIN,TE
284,Anthony Firkser,0.0,TEN,TE
287,Dan Arnold,0.0,JAC,TE
291,Robert Tonyan,0.0,GB,TE
295,Mo Alie-Cox,0.0,IND,TE
296,Blake Jarwin,0.0,DAL,TE
303,Darren Waller,0.0,LV,TE
0,Cardinals,0.0,ARI,DST
