,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
19,Corey Clement,RB,DAL,1,0,3,0,0,0,bye,0,5,13,0,0,0,31,0,7,0,60,6.0,
20,Mekhi Sargent,RB,Multi,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1.3,
21,Derrick Henry,RB,TEN,40,67,49,59,49,43,50,54,0,0,0,0,bye,0,0,0,0,411,51.4,
22,Jeremy McNichols,RB,TEN,23,21,18,40,15,0,10,17,26,16,0,0,bye,27,23,26,6,268,20.6,
23,Ryan Tannehill,QB,TEN,64,88,68,100,64,53,67,72,57,60,81,56,bye,68,80,62,60,1100,68.8,
24,Chester Rogers,WR,TEN,39,38,28,66,31,15,0,31,19,21,56,15,bye,16,28,31,20,454,30.3,
25,Nick Westbrook-Ikhine,WR,TEN,24,16,53,81,0,29,0,23,22,22,54,52,bye,52,71,39,44,582,41.6,
26,Geoff Swaim,TE,TEN,25,64,44,32,36,38,38,57,42,40,0,46,bye,54,59,39,57,671,44.7,
27,Julio Jones,WR,TEN,50,66,34,0,0,35,29,0,43,0,0,0,bye,32,27,31,0,347,38.6,
28,Anthony Firkser,TE,TEN,31,0,0,50,27,15,24,20,25,22,41,26,bye,30,17,16,29,373,26.6,
29,A.J. Brown,WR,TEN,52,74,8,0,41,42,42,67,45,49,42,0,bye,0,0,46,40,548,45.7,
30,Khari Blasingame,RB,TEN,9,0,0,0,0,9,0,0,0,0,0,5,bye,0,0,9,0,32,8.0,
31,James Conner,RB,ARI,34,24,25,33,29,41,21,22,54,45,68,bye,48,75,33,0,0,552,39.4,
32,Chase Edmonds,RB,ARI,40,39,44,52,37,28,49,35,1,0,0,bye,0,0,29,60,62,476,39.7,
33,Kyler Murray,QB,ARI,69,61,67,76,61,68,66,59,0,0,0,bye,53,78,64,65,77,864,66.5,
34,Demetrius Harris,TE,ARI,23,2,7,9,0,20,21,10,0,0,0,bye,17,0,8,21,0,138,13.8,
35,A.J. Green,WR,ARI,55,51,53,67,49,68,60,56,0,38,57,bye,36,56,56,56,62,820,54.7,
36,Christian Kirk,WR,ARI,39,38,38,56,33,64,51,46,67,47,61,bye,32,58,72,55,69,826,51.6,
37,Maxx Williams,TE,ARI,55,45,51,45,25,0,0,0,0,0,0,bye,0,0,0,0,0,221,44.2,
38,Rondale Moore,WR,ARI,20,28,23,33,29,42,37,36,57,18,32,bye,23,34,20,0,0,432,30.9,
39,DeAndre Hopkins,WR,ARI,61,59,61,75,56,67,59,15,0,0,0,bye,39,68,0,0,0,560,56.0,
40,Darrell Daniels,TE,ARI,15,19,23,0,0,25,0,1,32,17,29,bye,0,0,0,0,32,193,21.4,
41,Jonathan Ward,RB,ARI,0,0,0,0,0,7,1,0,0,0,0,bye,0,0,11,9,8,36,4.5,
42,Tyrod Taylor,QB,HOU,78,26,0,0,0,0,0,0,69,bye,64,57,29,0,0,0,0,323,53.8,
43,David Johnson,RB,HOU,22,26,21,27,31,32,30,11,31,bye,35,22,0,0,12,0,0,300,25.0,
44,Phillip Lindsay,RB,Multi,20,14,9,8,13,11,4,8,14,0,2,15,0,0,0,19,7,144,11.1,
45,Mark Ingram,RB,Multi,36,19,19,10,26,33,21,22,26,57,47,0,30,0,30,24,0,400,28.6,
46,Chris Conley,WR,HOU,40,55,49,41,54,32,0,25,27,bye,31,0,30,46,38,50,49,567,40.5,
47,Pharaoh Brown,TE,HOU,59,38,31,34,37,40,29,0,0,bye,54,34,32,0,45,46,42,521,40.1,
48,Danny Amendola,WR,HOU,17,12,0,0,0,0,24,39,34,bye,13,22,0,0,0,0,0,161,23.0,
49,Rex Burkhead,RB,HOU,10,0,8,3,0,5,4,30,21,bye,27,35,24,36,38,42,44,327,23.4,
50,Jordan Akins,TE,HOU,47,38,34,18,27,32,29,39,25,bye,0,0,0,12,20,1,0,322,26.8,
51,Nico Collins,WR,HOU,43,2,0,0,0,43,35,39,48,bye,38,37,32,57,36,45,40,495,38.1,
52,Brandin Cooks,WR,HOU,61,56,52,41,50,68,53,54,67,bye,53,47,43,66,49,0,53,813,54.2,
53,Andre Roberts,WR,Multi,0,22,0,2,0,2,0,0,2,0,1,0,0,0,1,0,0,30,2.0,
54,Trevor Lawrence,QB,JAC,74,56,68,56,71,66,bye,76,55,66,46,73,58,55,70,73,47,1010,63.1,
55,Laviska Shenault,WR,JAC,52,45,44,42,52,52,bye,52,48,51,29,53,31,45,47,0,13,656,43.7,
56,Carlos Hyde,RB,JAC,25,14,23,0,18,9,bye,50,48,18,14,32,29,12,0,0,0,292,24.3,
57,James Robinson,RB,JAC,47,41,40,53,48,56,bye,8,0,39,29,38,26,35,59,11,0,530,37.9,
58,D.J. Chark,WR,JAC,63,45,59,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,167,55.7,
59,Devin Smith,WR,JAC,9,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,9,9.0,
60,James O'Shaughnessy,TE,JAC,59,3,0,0,0,0,bye,0,0,0,0,59,39,40,44,42,0,286,40.9,
61,Chris Manhertz,TE,JAC,26,27,25,24,0,30,bye,0,27,24,0,27,0,0,18,0,16,244,24.4,
62,Tyron Johnson,WR,Multi,9,7,0,9,0,0,0,13,0,0,0,0,0,1,0,0,4,43,7.2,
63,Marvin Jones,WR,JAC,67,49,66,52,66,57,bye,69,51,56,42,71,49,54,65,60,45,919,57.4,
64,Jamal Agnew,WR,JAC,10,4,6,8,45,39,bye,55,33,50,10,0,0,0,0,0,0,260,26.0,
65,Dare Ogunbowale,RB,JAC,0,0,0,3,5,0,bye,15,8,0,0,1,0,4,10,60,31,137,11.4,
66,Ja'Marr Chase,WR,CIN,62,51,39,46,61,57,53,52,71,bye,68,52,73,65,51,69,64,934,58.4,
67,Joe Mixon,RB,CIN,54,46,35,40,19,45,34,42,47,bye,53,49,50,40,31,62,50,697,43.6,
68,Joe Burrow,QB,CIN,69,55,47,58,67,59,56,55,69,bye,74,58,76,67,53,76,68,1007,62.9,
69,Samaje Perine,RB,CIN,15,3,10,16,41,0,30,14,25,bye,11,10,26,28,16,11,20,276,18.4,
70,Tee Higgins,WR,CIN,51,50,0,0,47,41,42,42,57,bye,59,43,60,50,46,64,58,710,50.7,
71,C.J. Uzomah,TE,CIN,51,40,33,48,56,50,52,47,48,bye,54,45,66,58,42,49,63,802,50.1,
72,Tyler Boyd,WR,CIN,51,48,37,36,55,45,45,44,59,bye,52,52,57,57,46,69,54,807,50.4,
73,Mike Thomas,WR,CIN,16,0,10,18,0,0,0,0,10,bye,8,13,0,0,0,0,0,75,12.5,
74,Ameer Abdullah,RB,Multi,9,1,22,5,12,0,0,22,22,16,8,27,0,38,40,23,29,274,17.1,
75,Alexander Mattison,RB,MIN,9,13,51,23,44,12,bye,8,9,12,12,22,65,13,0,47,19,359,23.9,
76,Dalvin Cook,RB,MIN,59,47,0,33,0,66,bye,47,43,65,53,29,0,54,57,0,29,582,48.5,
77,C.J. Ham,RB,MIN,25,0,22,21,32,21,bye,26,21,27,23,20,25,0,25,20,9,317,22.6,
78,Chris Herndon,TE,MIN,12,0,0,0,7,24,bye,15,0,23,0,0,0,9,0,0,0,90,15.0,
79,Tyler Conklin,TE,MIN,59,49,54,57,50,76,bye,54,47,67,56,44,72,49,47,61,50,892,55.8,
80,Adam Thielen,WR,MIN,78,61,72,66,62,87,bye,65,48,71,66,53,6,0,0,23,0,758,58.3,
81,K.J. Osborn,WR,MIN,67,36,44,42,40,48,bye,38,26,41,36,30,70,60,56,50,51,735,45.9,
82,Justin Jefferson,WR,MIN,76,53,62,59,60,84,bye,47,43,60,63,51,69,67,59,61,54,968,60.5,
83,Dede Westbrook,WR,MIN,15,2,6,8,14,12,bye,0,2,5,11,5,32,29,0,27,38,206,14.7,
84,Kirk Cousins,QB,MIN,83,61,75,67,67,89,bye,66,54,79,70,55,76,70,64,63,0,1039,69.3,
85,Ihmir Smith-Marsette,WR,MIN,4,0,0,0,0,0,bye,11,0,0,0,0,0,0,31,0,0,46,9.2,
86,Carson Wentz,QB,IND,76,62,61,71,69,48,68,80,62,64,62,69,62,bye,52,70,58,1034,64.6,
87,Nyheim Hines,RB,IND,34,25,34,22,26,11,19,25,28,18,13,25,14,bye,10,18,21,343,21.4,
88,Jonathan Taylor,RB,IND,42,30,29,36,36,31,47,59,43,54,57,49,55,bye,51,55,41,715,44.7,
89,Mike Strachan,WR,IND,18,34,0,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,52,26.0,
90,Michael Pittman,WR,IND,74,60,57,61,61,46,62,77,53,56,52,65,54,bye,28,68,55,929,58.1,
91,Parris Campbell,WR,IND,46,0,49,31,38,5,0,0,0,0,0,0,0,bye,0,0,0,169,33.8,
92,Jack Doyle,TE,IND,45,50,35,21,50,31,50,50,42,37,51,42,42,bye,41,0,0,587,41.9,
93,Mo Alie-Cox,TE,IND,39,27,28,49,31,24,43,39,38,35,28,39,31,bye,40,63,33,587,36.7,
94,Zach Pascal,WR,IND,69,61,54,58,59,41,57,75,52,57,54,64,54,bye,34,0,34,823,54.9,
95,Ashton Dulin,WR,IND,6,26,7,12,23,13,43,29,23,7,20,4,22,bye,28,28,27,318,19.9,
96,Russell Wilson,QB,SEA,54,54,53,56,40,0,0,0,bye,61,49,47,70,61,57,56,72,730,56.2,
97,Chris Carson,RB,SEA,42,34,23,25,0,0,0,0,bye,0,0,0,0,0,0,0,0,124,31.0,
98,Rashaad Penny,RB,SEA,7,0,0,0,0,0,20,11,bye,0,8,0,29,35,24,30,46,210,23.3,
99,Freddie Swain,WR,SEA,23,41,45,25,40,51,43,37,bye,41,20,31,32,27,52,29,36,573,35.8,
100,D'Wayne Eskridge,WR,SEA,12,0,0,0,0,0,0,0,bye,5,0,13,22,28,40,20,24,164,20.5,
101,DeeJay Dallas,RB,SEA,3,0,0,1,14,22,1,2,bye,0,18,28,2,11,33,22,2,159,9.9,
102,Gerald Everett,TE,SEA,39,43,42,0,0,31,33,44,bye,46,42,37,54,38,48,47,51,595,42.5,
103,D.K. Metcalf,WR,SEA,50,51,47,46,48,49,46,41,bye,45,45,44,62,45,53,49,48,769,48.1,
104,Will Dissly,TE,SEA,38,0,20,46,57,47,0,36,bye,32,25,16,33,42,26,0,28,446,34.3,
105,Tyler Lockett,WR,SEA,46,50,49,48,56,58,48,44,bye,58,45,47,59,46,0,48,60,762,50.8,
106,Travis Homer,RB,SEA,2,14,16,9,8,5,12,17,bye,31,5,0,21,0,0,4,24,168,12.9,
107,Penny Hart,WR,SEA,2,0,8,0,12,11,10,16,bye,17,4,0,9,9,0,6,16,120,10.0,
108,Josh Allen,QB,BUF,85,63,71,63,57,77,bye,73,67,54,50,63,58,78,70,79,76,1084,67.8,
109,Matt Breida,RB,BUF,10,0,0,0,0,0,bye,0,0,8,18,21,7,11,3,0,0,78,11.1,
110,Devin Singletary,RB,BUF,64,43,34,32,15,35,bye,25,48,22,21,45,28,64,65,54,61,656,41.0,
111,Isaiah McKenzie,WR,BUF,15,13,15,4,8,4,bye,13,19,13,9,0,0,11,20,67,24,235,16.8,
112,Dawson Knox,TE,BUF,48,54,62,58,55,61,bye,0,0,49,55,60,56,75,63,79,67,842,60.1,
113,Cole Beasley,WR,BUF,77,39,52,36,22,67,bye,52,45,9,32,46,40,63,32,0,37,649,43.3,
114,Gabriel Davis,WR,BUF,43,0,23,31,14,26,bye,32,19,30,19,28,16,65,63,0,66,475,33.9,
115,Emmanuel Sanders,WR,BUF,79,50,63,51,45,71,bye,56,66,35,44,51,46,25,0,65,0,747,53.4,
116,Stefon Diggs,WR,BUF,79,51,59,53,42,62,bye,55,59,46,43,54,55,69,58,65,60,910,56.9,
117,Najee Harris,RB,PIT,58,53,79,48,42,63,bye,62,59,76,52,36,58,71,49,56,78,940,58.8,
118,Ben Roethlisberger,QB,PIT,58,56,83,60,65,75,bye,74,72,0,69,62,60,74,49,62,81,1000,66.7,
119,Chase Claypool,WR,PIT,39,43,76,0,36,63,bye,72,58,0,63,61,38,44,31,59,71,754,53.9,
120,Pat Freiermuth,TE,PIT,29,33,30,32,32,45,bye,58,51,54,39,47,44,55,22,0,62,633,42.2,
121,Zach Gentry,TE,PIT,16,0,0,11,22,0,bye,45,0,0,0,22,30,0,37,49,41,273,30.3,
122,Diontae Johnson,WR,PIT,44,49,0,55,60,69,bye,68,65,75,63,61,57,72,48,65,72,923,61.5,
123,JuJu Smith-Schuster,WR,PIT,53,54,33,57,25,0,bye,0,0,0,0,0,0,0,0,0,0,222,44.4,
124,James Washington,WR,PIT,15,12,66,49,0,8,bye,34,41,76,46,27,22,30,17,22,15,480,32.0,
125,Eric Ebron,TE,PIT,27,24,47,28,25,34,bye,0,0,29,32,0,0,0,0,0,0,246,30.8,
126,Ray-Ray McCloud,WR,PIT,3,1,47,4,34,52,bye,11,26,61,15,0,40,63,33,45,53,488,32.5,
127,Derek Watt,RB,PIT,4,0,7,2,9,6,bye,0,7,6,0,2,6,5,0,0,5,59,5.4,
128,Benny Snell,RB,PIT,0,3,0,8,13,0,bye,2,6,6,8,7,2,3,0,16,3,77,5.1,
129,Jared Goff,QB,DET,92,57,63,71,68,63,69,58,bye,71,0,49,72,63,64,0,0,860,66.2,
130,Kalif Raymond,WR,DET,69,36,47,53,46,56,56,49,bye,47,34,39,35,42,45,46,0,700,46.7,
131,D'Andre Swift,RB,DET,63,36,35,52,50,49,52,44,bye,66,35,10,0,0,0,0,36,528,44.0,
132,Jamaal Williams,RB,DET,32,22,31,21,22,19,20,0,bye,0,13,31,34,0,0,28,20,293,24.4,
133,Amon-Ra St.,WR,DET,59,34,27,51,47,49,0,45,bye,43,41,48,69,47,45,59,53,717,47.8,
134,Trinity Benson,WR,DET,49,24,24,20,21,0,0,0,bye,48,0,0,0,0,0,0,48,234,33.4,
135,Quintez Cephus,WR,DET,32,51,45,62,22,0,0,0,bye,0,0,0,0,0,0,0,0,212,42.4,
136,Darren Fells,TE,Multi,27,0,26,0,0,0,28,0,0,0,0,0,0,0,0,0,0,81,27.0,
137,T.J. Hockenson,TE,DET,78,53,53,58,55,52,55,47,bye,67,42,37,61,0,0,0,0,658,54.8,
138,Tyrell Williams,WR,DET,39,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,39,39.0,
139,Godwin Igwebuike,RB,DET,0,0,0,0,0,0,0,11,bye,4,1,4,28,28,12,10,0,98,7.0,
140,JaMycal Hasty,RB,SF,16,25,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,0,41,20.5,
141,Trey Lance,QB,SF,4,0,3,39,65,bye,0,0,0,0,5,0,0,0,0,0,62,178,29.7,
142,Elijah Mitchell,RB,SF,35,43,0,0,44,bye,37,36,39,36,0,49,49,0,0,0,36,404,40.4,
143,Raheem Mostert,RB,SF,4,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,0,4,4.0,
144,Jimmy Garoppolo,QB,SF,51,70,67,37,0,bye,56,56,59,68,64,70,58,71,57,59,0,843,60.2,
145,George Kittle,TE,SF,52,70,70,70,0,bye,0,0,43,52,57,65,54,68,55,59,59,774,59.5,
146,Trent Sherfield,WR,SF,27,24,0,22,0,bye,16,0,0,0,11,20,57,13,5,12,8,215,19.5,
147,Deebo Samuel,WR,SF,46,49,63,68,56,bye,48,46,54,49,55,46,0,55,46,45,53,779,51.9,
148,Kyle Juszczyk,RB,SF,20,41,48,62,42,bye,0,31,24,40,38,44,32,31,30,32,34,549,36.6,
149,Mohamed Sanu,WR,SF,20,20,45,39,30,bye,28,25,33,0,0,0,0,0,0,0,0,240,30.0,
150,Brandon Aiyuk,WR,SF,26,38,60,51,46,bye,40,49,55,61,64,63,54,67,56,55,56,841,52.6,
151,Jaret Patterson,RB,WAS,4,0,0,5,5,2,0,16,bye,5,13,3,4,12,10,15,39,133,10.2,
152,Antonio Gibson,RB,WAS,36,43,31,37,47,23,30,23,bye,46,33,57,55,46,43,22,0,572,38.1,
153,Taylor Heinicke,QB,WAS,39,71,54,67,83,59,72,70,bye,73,67,84,67,48,0,43,63,960,64.0,
154,Ryan Fitzpatrick,QB,WAS,16,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,16,16.0,
155,J.D. McKissic,RB,WAS,20,31,25,27,34,36,46,32,bye,28,31,33,0,0,0,0,0,343,31.2,
156,Logan Thomas,TE,WAS,55,71,54,0,0,0,0,0,bye,0,0,66,43,0,0,0,0,289,57.8,
157,Adam Humphries,WR,WAS,33,50,34,45,51,31,50,44,bye,38,30,32,34,42,34,40,33,621,38.8,
158,Cam Sims,WR,WAS,2,0,20,5,0,0,0,15,bye,13,11,12,0,40,25,37,47,227,20.6,
159,Dyami Brown,WR,WAS,51,62,35,28,0,47,0,0,bye,0,0,0,6,23,9,13,7,281,28.1,
160,Terry McLaurin,WR,WAS,55,71,52,65,70,56,66,61,bye,70,62,76,62,33,49,55,60,963,60.2,
161,DeAndre Carter,WR,WAS,2,6,5,11,58,12,39,49,bye,49,50,61,49,40,27,13,22,493,30.8,
162,Justin Herbert,QB,LAC,81,71,66,75,75,56,bye,60,69,59,76,71,64,66,80,62,67,1098,68.6,
163,Austin Ekeler,RB,LAC,47,45,49,45,53,34,bye,45,46,42,53,48,47,33,27,0,39,653,43.5,
164,Justin Jackson,RB,LAC,11,16,7,11,0,8,bye,7,0,0,5,0,16,20,43,45,25,214,16.5,
165,Gabe Nabers,RB,LAC,9,2,9,5,0,3,bye,0,0,0,0,0,0,0,4,0,10,42,6.0,
166,Larry Rountree,RB,LAC,22,10,11,22,0,0,bye,8,6,9,19,0,0,0,0,0,0,107,11.9,
167,Jared Cook,TE,LAC,47,42,46,39,50,36,bye,33,29,34,38,37,35,31,43,39,0,579,38.6,
168,Stephen Anderson,TE,LAC,20,15,0,23,15,12,bye,7,31,7,0,6,22,17,38,22,52,287,20.5,
169,Jalen Guyton,WR,LAC,53,50,41,42,43,40,bye,35,25,18,41,39,34,42,28,0,32,563,37.5,
170,Keenan Allen,WR,LAC,67,65,55,66,68,51,bye,59,62,55,62,61,53,0,62,55,49,890,59.3,
171,Joshua Palmer,WR,LAC,14,18,0,0,16,29,bye,8,21,18,23,30,22,62,33,60,31,385,27.5,
172,KJ Hill,WR,LAC,7,0,0,2,4,1,bye,0,0,0,0,0,0,0,0,0,0,14,2.3,
173,Donald Parham,TE,LAC,41,34,31,39,40,26,bye,25,28,27,32,28,16,29,2,0,0,398,28.4,
174,Mike Williams,WR,LAC,61,54,48,64,58,20,bye,54,57,56,60,61,56,59,65,0,56,829,55.3,
175,DJ Moore,WR,CAR,52,67,54,59,62,68,62,61,50,59,48,53,bye,57,69,60,56,937,58.6,
176,Sam Darnold,QB,CAR,64,76,73,70,71,74,45,64,59,0,0,0,bye,0,0,44,60,700,63.6,
177,Christian McCaffrey,RB,CAR,57,54,22,0,0,0,0,0,29,44,46,20,bye,0,0,0,0,272,38.9,
178,Ian Thomas,TE,CAR,35,52,0,44,45,40,45,46,38,0,32,40,bye,35,42,24,54,572,40.9,
179,Terrace Marshall,WR,CAR,34,39,45,50,54,23,0,0,22,18,14,0,bye,0,8,41,44,392,32.7,
180,Robby Anderson,WR,CAR,52,56,47,59,62,64,61,55,54,51,47,51,bye,62,76,67,60,924,57.8,
181,Chuba Hubbard,RB,CAR,7,19,40,33,46,48,34,41,10,16,0,11,bye,25,36,34,32,432,28.8,
182,Dan Arnold,TE,Multi,33,22,27,18,52,41,0,55,35,45,30,5,0,0,0,0,0,363,33.0,
183,Alex Erickson,WR,CAR,2,8,6,8,5,12,1,3,2,1,2,1,bye,0,0,3,0,54,3.4,
184,Tommy Tremble,TE,CAR,12,0,19,27,27,38,35,34,34,51,24,25,bye,34,49,41,0,450,32.1,
185,Michael Carter,RB,NYJ,16,33,23,31,29,bye,47,59,45,40,20,0,0,0,31,43,8,425,32.7,
186,Ty Johnson,RB,NYJ,35,33,31,20,22,bye,21,24,32,25,20,23,28,48,0,0,31,393,28.1,
187,Tevin Coleman,RB,NYJ,17,7,0,11,5,bye,0,0,0,17,20,30,23,0,21,19,0,170,17.0,
188,Tyler Kroft,TE,NYJ,43,55,23,46,0,bye,0,51,15,0,0,0,0,0,36,50,0,319,39.9,
189,Elijah Moore,WR,NYJ,56,57,26,0,23,bye,37,30,46,43,48,59,51,0,0,0,0,476,43.3,
190,Ryan Griffin,TE,NYJ,31,45,33,35,51,bye,50,41,48,55,47,56,32,36,23,0,0,583,41.6,
191,Denzel Mims,WR,NYJ,3,0,0,0,8,bye,20,59,46,0,0,0,21,22,23,32,0,234,26.0,
192,Corey Davis,WR,NYJ,58,53,51,50,45,bye,47,0,0,65,56,0,25,0,0,0,0,450,50.0,
193,Braxton Berrios,WR,NYJ,37,43,42,9,6,bye,6,20,16,22,10,13,19,27,19,48,53,390,24.4,
194,Jeff Smith,WR,NYJ,9,20,6,0,0,bye,0,20,22,0,0,0,15,0,0,13,59,164,20.5,
195,Daniel Brown,TE,NYJ,0,0,0,0,0,bye,0,0,0,0,0,0,0,9,0,0,12,21,7.0,
196,Zach Wilson,QB,NYJ,65,73,54,61,56,bye,18,0,0,0,0,67,59,66,57,58,61,695,57.9,
197,Cordarrelle Patterson,RB,ATL,24,24,26,23,46,bye,46,32,33,15,0,29,34,34,37,25,27,455,30.3,
198,Mike Davis,RB,ATL,54,46,37,51,50,bye,38,34,33,20,26,30,38,39,27,26,27,576,36.0,
199,Keith Smith,RB,ATL,21,18,22,16,14,bye,11,0,0,19,19,13,21,0,0,12,12,198,16.5,
200,Matt Ryan,QB,ATL,70,66,62,76,78,bye,63,53,59,38,50,60,71,69,59,46,53,973,60.8,
201,Hayden Hurst,TE,ATL,43,30,24,49,43,bye,37,33,26,0,0,0,0,43,25,22,0,375,34.1,
202,Kyle Pitts,TE,ATL,49,57,52,55,54,bye,42,44,44,33,44,47,67,37,49,36,27,737,46.1,
203,Calvin Ridley,WR,ATL,61,60,59,73,0,bye,46,0,0,0,0,0,0,0,0,0,0,299,59.8,
204,Russell Gage,WR,ATL,49,38,0,0,0,bye,40,0,48,35,40,46,53,52,48,40,42,531,44.3,
205,Jalen Hurts,QB,PHI,71,58,58,74,67,52,69,51,57,64,78,67,0,bye,71,56,61,954,63.6,
206,Kenneth Gainwell,RB,PHI,25,19,18,29,16,12,35,20,11,20,0,11,27,bye,6,2,8,259,17.3,
207,Miles Sanders,RB,PHI,47,39,35,47,50,43,12,0,0,0,36,22,41,bye,35,19,0,426,35.5,
208,Zach Ertz,TE,Multi,41,37,30,37,40,46,35,43,56,45,63,0,41,65,67,63,70,779,48.7,
209,DeVonta Smith,WR,PHI,62,49,57,68,62,51,60,44,44,54,72,61,44,bye,62,54,58,902,56.4,
210,Jalen Reagor,WR,PHI,50,42,50,52,47,43,56,12,29,50,55,45,48,bye,39,32,31,681,42.6,
211,Quez Watkins,WR,PHI,34,29,38,43,55,40,50,58,55,57,64,55,55,bye,25,51,31,740,46.3,
212,Dallas Goedert,TE,PHI,52,38,34,55,45,0,64,44,53,13,75,64,68,bye,66,53,57,781,52.1,
213,Boston Scott,RB,PHI,0,0,4,0,0,0,23,29,25,20,29,34,3,bye,0,20,32,219,19.9,
214,J.J. Arcega-Whiteside,WR,PHI,16,0,0,11,0,0,8,0,0,0,12,15,0,bye,0,13,0,75,12.5,
215,Clyde Edwards-Helaire,RB,KC,47,33,49,35,22,0,0,0,0,0,32,bye,29,23,51,21,0,342,34.2,
216,Darrel Williams,RB,KC,14,14,27,24,37,59,46,52,35,45,36,bye,26,23,21,29,49,537,33.6,
217,Blake Bell,TE,KC,19,20,23,0,17,0,0,24,26,24,23,bye,0,0,16,25,24,241,21.9,
218,Michael Burton,RB,KC,5,5,0,4,2,6,0,0,0,0,0,bye,7,5,6,13,6,59,5.9,
219,Tyreek Hill,WR,KC,57,50,58,54,73,47,52,62,54,56,55,bye,50,44,60,29,52,853,53.3,
220,Patrick Mahomes,QB,KC,65,51,79,67,86,82,54,81,65,73,68,bye,57,62,72,63,61,1086,67.9,
221,Mecole Hardman,WR,KC,45,40,51,35,59,49,49,40,42,24,12,bye,9,23,31,30,19,558,34.9,
222,Demarcus Robinson,WR,KC,48,30,57,0,65,57,57,33,14,26,28,bye,31,0,49,46,39,580,41.4,
223,Byron Pringle,WR,KC,11,11,30,17,26,32,34,43,0,46,40,bye,41,40,46,55,29,501,33.4,
224,Travis Kelce,TE,KC,55,44,69,59,75,67,53,74,56,58,59,bye,44,49,56,0,48,866,57.7,
225,Marcus Kemp,WR,KC,5,0,7,2,4,6,6,2,0,4,0,bye,4,4,0,11,3,58,4.8,
226,Nick Chubb,RB,CLE,31,35,40,37,40,0,0,33,27,0,42,30,bye,43,37,41,30,466,35.8,
227,Anthony Schwartz,WR,CLE,31,30,28,15,9,26,29,6,28,9,0,0,bye,0,0,11,24,246,20.5,
228,Baker Mayfield,QB,CLE,59,61,76,78,72,55,0,59,45,36,74,60,bye,63,0,68,71,877,62.6,
229,Kareem Hunt,RB,CLE,28,23,33,41,32,41,0,0,0,0,0,23,bye,13,0,0,0,234,29.3,
230,Jarvis Landry,WR,CLE,51,2,0,0,0,0,38,53,32,47,48,56,bye,54,0,54,50,485,44.1,
231,David Njoku,TE,CLE,35,36,0,52,46,26,42,38,35,35,47,43,bye,0,56,39,51,581,41.5,
232,Andy Janovich,RB,CLE,11,11,0,5,0,0,0,0,4,0,0,0,bye,16,0,6,0,53,8.8,
